sequence_names, nt_proportion0, nt_proportion1, nt_proportion2, nt_proportion3, dinucleotide_proportion0, dinucleotide_proportion1, dinucleotide_proportion2, dinucleotide_proportion3, dinucleotide_proportion4, dinucleotide_proportion5, dinucleotide_proportion6, dinucleotide_proportion7, dinucleotide_proportion8, dinucleotide_proportion9, dinucleotide_proportion10, dinucleotide_proportion11, dinucleotide_proportion12, dinucleotide_proportion13, dinucleotide_proportion14, dinucleotide_proportion15, gc_content, gc_ratio, sequence_length, bp_number, dP, bp_proportion0, bp_proportion1, bp_proportion2, bp_proportion_stem0, bp_proportion_stem1, bp_proportion_stem2, triplets0, triplets1, triplets2, triplets3, triplets4, triplets5, triplets6, triplets7, triplets8, triplets9, triplets10, triplets11, triplets12, triplets13, triplets14, triplets15, triplets16, triplets17, triplets18, triplets19, triplets20, triplets21, triplets22, triplets23, triplets24, triplets25, triplets26, triplets27, triplets28, triplets29, triplets30, triplets31, mfe, efe, ensemble_frequency, diversity, mfe_efe_difference, dQ, dG, mfei1, mfei2, mfei4
covid19_1801-1201_InvCom_stem-170-236, 0.268657, 0.208955, 0.194030, 0.328358, 0.090909, 0.075758, 0.060606, 0.045455, 0.075758, 0.060606, 0.015152, 0.060606, 0.060606, 0.000000, 0.060606, 0.075758, 0.045455, 0.075758, 0.060606, 0.136364, 0.402985, 0.928571, 67.000000, 19.000000, 0.283582, 0.473684, 0.473684, 0.052632, 0.236842, 0.236842, 0.026316, 0.092308, 0.076923, 0.076923, 0.092308, 0.030769, 0.046154, 0.015385, 0.015385, 0.000000, 0.000000, 0.015385, 0.000000, 0.015385, 0.030769, 0.015385, 0.030769, 0.015385, 0.015385, 0.061538, 0.030769, 0.000000, 0.000000, 0.000000, 0.000000, 0.030769, 0.015385, 0.000000, 0.061538, 0.092308, 0.030769, 0.015385, 0.076923, -19.700000, -20.460000, 0.289610, 3.280000, 0.011343, 0.134422, -0.294030, -0.729630, -0.147015, -1.036842
covid19_1901-1301_InvCom_stem-425-502, 0.282051, 0.230769, 0.217949, 0.269231, 0.064935, 0.051948, 0.077922, 0.090909, 0.077922, 0.064935, 0.038961, 0.038961, 0.064935, 0.051948, 0.051948, 0.051948, 0.064935, 0.064935, 0.051948, 0.090909, 0.448718, 0.944444, 78.000000, 19.000000, 0.243590, 0.368421, 0.526316, 0.105263, 0.122807, 0.175439, 0.035088, 0.039474, 0.092105, 0.092105, 0.039474, 0.039474, 0.039474, 0.000000, 0.039474, 0.000000, 0.000000, 0.000000, 0.000000, 0.039474, 0.026316, 0.026316, 0.013158, 0.013158, 0.000000, 0.065789, 0.039474, 0.000000, 0.000000, 0.000000, 0.000000, 0.065789, 0.039474, 0.000000, 0.013158, 0.078947, 0.026316, 0.039474, 0.131579, -14.400000, -16.180000, 0.055983, 16.070000, 0.022821, 0.621761, -0.184615, -0.411429, -0.061538, -0.757895
covid19_2101-1501_InvCom_stem-50-167, 0.338983, 0.186441, 0.186441, 0.288136, 0.094017, 0.051282, 0.085470, 0.111111, 0.094017, 0.025641, 0.017094, 0.051282, 0.059829, 0.042735, 0.008547, 0.076923, 0.085470, 0.068376, 0.076923, 0.051282, 0.372881, 1.000000, 118.000000, 39.000000, 0.330508, 0.538462, 0.307692, 0.153846, 0.107692, 0.061538, 0.030769, 0.077586, 0.077586, 0.094828, 0.129310, 0.068966, 0.008621, 0.034483, 0.034483, 0.025862, 0.017241, 0.017241, 0.008621, 0.043103, 0.025862, 0.008621, 0.000000, 0.034483, 0.017241, 0.025862, 0.068966, 0.000000, 0.000000, 0.000000, 0.000000, 0.043103, 0.017241, 0.000000, 0.017241, 0.043103, 0.025862, 0.008621, 0.025862, -23.800000, -27.060000, 0.005053, 10.280000, 0.027627, 0.215043, -0.201695, -0.540909, -0.040339, -0.610256
covid19_2101-1501_InvCom_stem-520-598, 0.329114, 0.265823, 0.189873, 0.215190, 0.089744, 0.141026, 0.038462, 0.051282, 0.128205, 0.064103, 0.025641, 0.051282, 0.012821, 0.064103, 0.051282, 0.064103, 0.089744, 0.000000, 0.076923, 0.051282, 0.455696, 0.714286, 79.000000, 25.000000, 0.316456, 0.440000, 0.440000, 0.120000, 0.110000, 0.110000, 0.030000, 0.090909, 0.077922, 0.116883, 0.103896, 0.025974, 0.025974, 0.025974, 0.051948, 0.012987, 0.000000, 0.000000, 0.000000, 0.038961, 0.051948, 0.012987, 0.012987, 0.012987, 0.038961, 0.038961, 0.025974, 0.000000, 0.000000, 0.000000, 0.000000, 0.064935, 0.025974, 0.000000, 0.012987, 0.064935, 0.051948, 0.000000, 0.012987, -14.500000, -16.560000, 0.035620, 27.760000, 0.026076, 1.073305, -0.183544, -0.402778, -0.045886, -0.580000
covid19_2201-1601_InvCom_stem-9-90, 0.329268, 0.243902, 0.146341, 0.280488, 0.148148, 0.074074, 0.074074, 0.024691, 0.086420, 0.049383, 0.012346, 0.098765, 0.049383, 0.024691, 0.037037, 0.037037, 0.049383, 0.086420, 0.024691, 0.123457, 0.390244, 0.600000, 82.000000, 19.000000, 0.231707, 0.526316, 0.421053, 0.052632, 0.263158, 0.210526, 0.026316, 0.068493, 0.041096, 0.082192, 0.082192, 0.013699, 0.041096, 0.013699, 0.041096, 0.013699, 0.013699, 0.000000, 0.027397, 0.013699, 0.027397, 0.000000, 0.013699, 0.041096, 0.027397, 0.027397, 0.013699, 0.000000, 0.000000, 0.000000, 0.000000, 0.013699, 0.013699, 0.000000, 0.027397, 0.164384, 0.068493, 0.041096, 0.068493, -14.100000, -15.990000, 0.046483, 8.650000, 0.023049, 0.287086, -0.171951, -0.440625, -0.085976, -0.742105
covid19_2201-1601_InvCom_stem-523-594, 0.277778, 0.138889, 0.166667, 0.416667, 0.098592, 0.042254, 0.070423, 0.070423, 0.070423, 0.014085, 0.000000, 0.056338, 0.056338, 0.000000, 0.028169, 0.084507, 0.056338, 0.070423, 0.070423, 0.211268, 0.305556, 1.200000, 72.000000, 21.000000, 0.291667, 0.571429, 0.285714, 0.142857, 0.285714, 0.142857, 0.071429, 0.100000, 0.057143, 0.085714, 0.128571, 0.057143, 0.000000, 0.042857, 0.014286, 0.028571, 0.028571, 0.000000, 0.014286, 0.014286, 0.000000, 0.014286, 0.014286, 0.014286, 0.028571, 0.000000, 0.071429, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.042857, 0.071429, 0.014286, 0.028571, 0.128571, -14.700000, -15.800000, 0.168148, 8.380000, 0.015278, 0.313801, -0.204167, -0.668182, -0.102083, -0.700000
covid19_2401-1801_InvCom_stem-21-103, 0.409639, 0.192771, 0.132530, 0.265060, 0.182927, 0.048780, 0.109756, 0.073171, 0.109756, 0.036585, 0.000000, 0.048780, 0.024390, 0.060976, 0.012195, 0.024390, 0.097561, 0.036585, 0.012195, 0.121951, 0.325301, 0.687500, 83.000000, 22.000000, 0.265060, 0.590909, 0.318182, 0.090909, 0.196970, 0.106061, 0.030303, 0.093333, 0.040000, 0.040000, 0.120000, 0.013333, 0.040000, 0.026667, 0.053333, 0.013333, 0.026667, 0.000000, 0.000000, 0.053333, 0.026667, 0.000000, 0.013333, 0.053333, 0.013333, 0.053333, 0.013333, 0.000000, 0.000000, 0.000000, 0.000000, 0.053333, 0.026667, 0.000000, 0.000000, 0.120000, 0.026667, 0.013333, 0.066667, -11.500000, -13.030000, 0.083965, 6.910000, 0.018434, 0.224883, -0.138554, -0.425926, -0.046185, -0.522727
covid19_2501-1901_InvCom_stem-464-538, 0.346667, 0.173333, 0.173333, 0.306667, 0.094595, 0.027027, 0.081081, 0.148649, 0.108108, 0.027027, 0.000000, 0.040541, 0.067568, 0.027027, 0.000000, 0.081081, 0.067568, 0.094595, 0.094595, 0.040541, 0.346667, 1.000000, 75.000000, 25.000000, 0.333333, 0.600000, 0.320000, 0.080000, 0.300000, 0.160000, 0.040000, 0.117647, 0.088235, 0.073529, 0.102941, 0.073529, 0.000000, 0.044118, 0.044118, 0.044118, 0.014706, 0.014706, 0.014706, 0.029412, 0.029412, 0.000000, 0.014706, 0.014706, 0.029412, 0.029412, 0.088235, 0.000000, 0.000000, 0.000000, 0.000000, 0.058824, 0.014706, 0.000000, 0.000000, 0.014706, 0.000000, 0.014706, 0.029412, -15.500000, -17.450000, 0.042150, 7.180000, 0.026000, 0.229851, -0.206667, -0.596154, -0.103333, -0.620000
covid19_2801-2201_InvCom_stem-180-275, 0.312500, 0.218750, 0.166667, 0.302083, 0.115789, 0.094737, 0.063158, 0.042105, 0.105263, 0.042105, 0.000000, 0.063158, 0.021053, 0.021053, 0.042105, 0.084211, 0.073684, 0.063158, 0.063158, 0.105263, 0.385417, 0.761905, 96.000000, 25.000000, 0.260417, 0.440000, 0.440000, 0.120000, 0.146667, 0.146667, 0.040000, 0.080460, 0.080460, 0.103448, 0.103448, 0.022989, 0.011494, 0.022989, 0.022989, 0.022989, 0.000000, 0.000000, 0.000000, 0.022989, 0.000000, 0.000000, 0.057471, 0.011494, 0.022989, 0.022989, 0.022989, 0.000000, 0.011494, 0.011494, 0.000000, 0.011494, 0.022989, 0.011494, 0.034483, 0.149425, 0.057471, 0.011494, 0.045977, -27.600000, -29.100000, 0.087924, 9.650000, 0.015625, 0.294124, -0.287500, -0.745946, -0.095833, -1.104000
covid19_2801-2201_InvCom_stem-515-601, 0.310345, 0.252874, 0.126437, 0.310345, 0.093023, 0.093023, 0.046512, 0.069767, 0.127907, 0.069767, 0.011628, 0.046512, 0.046512, 0.023256, 0.023256, 0.034884, 0.034884, 0.069767, 0.046512, 0.162791, 0.379310, 0.500000, 87.000000, 20.000000, 0.229885, 0.500000, 0.450000, 0.050000, 0.166667, 0.150000, 0.016667, 0.063291, 0.050633, 0.075949, 0.088608, 0.050633, 0.025316, 0.012658, 0.012658, 0.000000, 0.012658, 0.000000, 0.012658, 0.037975, 0.012658, 0.000000, 0.025316, 0.012658, 0.025316, 0.025316, 0.037975, 0.000000, 0.000000, 0.000000, 0.000000, 0.012658, 0.012658, 0.012658, 0.037975, 0.126582, 0.088608, 0.000000, 0.126582, -15.500000, -16.570000, 0.175165, 8.410000, 0.012299, 0.284672, -0.178161, -0.469697, -0.059387, -0.775000
covid19_3001-2401_InvCom_stem-70-213, 0.305556, 0.222222, 0.152778, 0.319444, 0.083916, 0.076923, 0.076923, 0.069930, 0.118881, 0.020979, 0.013986, 0.069930, 0.034965, 0.041958, 0.020979, 0.055944, 0.069930, 0.083916, 0.041958, 0.118881, 0.375000, 0.687500, 144.000000, 40.000000, 0.277778, 0.525000, 0.425000, 0.050000, 0.087500, 0.070833, 0.008333, 0.102941, 0.051471, 0.066176, 0.102941, 0.029412, 0.051471, 0.022059, 0.022059, 0.007353, 0.007353, 0.000000, 0.022059, 0.051471, 0.022059, 0.007353, 0.007353, 0.022059, 0.014706, 0.044118, 0.044118, 0.000000, 0.000000, 0.000000, 0.000000, 0.029412, 0.029412, 0.000000, 0.029412, 0.080882, 0.044118, 0.014706, 0.073529, -32.300000, -35.150000, 0.009846, 13.170000, 0.019792, 0.250980, -0.224306, -0.598148, -0.037384, -0.807500
covid19_3101-2501_InvCom_stem-110-216, 0.336449, 0.205607, 0.168224, 0.289720, 0.103774, 0.047170, 0.075472, 0.103774, 0.113208, 0.047170, 0.000000, 0.047170, 0.018868, 0.047170, 0.018868, 0.084906, 0.094340, 0.066038, 0.075472, 0.056604, 0.373832, 0.818182, 107.000000, 30.000000, 0.280374, 0.433333, 0.400000, 0.166667, 0.108333, 0.100000, 0.041667, 0.085714, 0.047619, 0.066667, 0.123810, 0.009524, 0.038095, 0.038095, 0.038095, 0.019048, 0.000000, 0.000000, 0.038095, 0.028571, 0.028571, 0.000000, 0.009524, 0.028571, 0.028571, 0.057143, 0.009524, 0.000000, 0.000000, 0.000000, 0.000000, 0.047619, 0.009524, 0.000000, 0.009524, 0.104762, 0.057143, 0.009524, 0.066667, -17.500000, -19.950000, 0.018727, 28.530000, 0.022897, 0.808868, -0.163551, -0.437500, -0.040888, -0.583333
covid19_3201-2601_InvCom_stem-1-66, 0.272727, 0.227273, 0.196970, 0.303030, 0.107692, 0.015385, 0.107692, 0.030769, 0.107692, 0.030769, 0.000000, 0.092308, 0.046154, 0.061538, 0.046154, 0.046154, 0.015385, 0.107692, 0.046154, 0.138462, 0.424242, 0.866667, 66.000000, 18.000000, 0.272727, 0.444444, 0.500000, 0.055556, 0.222222, 0.250000, 0.027778, 0.078125, 0.078125, 0.078125, 0.109375, 0.015625, 0.031250, 0.031250, 0.031250, 0.000000, 0.015625, 0.000000, 0.031250, 0.015625, 0.000000, 0.015625, 0.031250, 0.031250, 0.031250, 0.046875, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.015625, 0.015625, 0.000000, 0.031250, 0.109375, 0.046875, 0.031250, 0.078125, -18.200000, -19.740000, 0.081738, 13.320000, 0.023333, 0.568479, -0.275758, -0.650000, -0.137879, -1.011111
covid19_3201-2601_InvCom_stem-74-242, 0.319527, 0.254438, 0.124260, 0.301775, 0.089286, 0.071429, 0.059524, 0.101190, 0.113095, 0.041667, 0.000000, 0.095238, 0.041667, 0.017857, 0.023810, 0.041667, 0.071429, 0.125000, 0.041667, 0.065476, 0.378698, 0.488372, 169.000000, 40.000000, 0.236686, 0.525000, 0.400000, 0.075000, 0.105000, 0.080000, 0.015000, 0.087500, 0.062500, 0.068750, 0.106250, 0.025000, 0.012500, 0.018750, 0.018750, 0.025000, 0.000000, 0.000000, 0.006250, 0.012500, 0.025000, 0.006250, 0.012500, 0.018750, 0.018750, 0.012500, 0.025000, 0.000000, 0.000000, 0.012500, 0.000000, 0.037500, 0.012500, 0.000000, 0.006250, 0.118750, 0.118750, 0.000000, 0.131250, -31.000000, -34.570000, 0.003070, 34.750000, 0.021124, 0.657112, -0.183432, -0.484375, -0.036686, -0.775000
covid19_3301-2701_InvCom_stem-21-114, 0.212766, 0.223404, 0.159574, 0.404255, 0.053763, 0.053763, 0.032258, 0.075269, 0.075269, 0.043011, 0.010753, 0.096774, 0.043011, 0.010753, 0.000000, 0.096774, 0.043011, 0.107527, 0.118280, 0.139785, 0.382979, 0.714286, 94.000000, 20.000000, 0.212766, 0.500000, 0.500000, 0.000000, 0.250000, 0.250000, 0.000000, 0.070588, 0.023529, 0.023529, 0.058824, 0.035294, 0.035294, 0.035294, 0.023529, 0.000000, 0.000000, 0.000000, 0.058824, 0.011765, 0.035294, 0.000000, 0.035294, 0.011765, 0.047059, 0.035294, 0.035294, 0.000000, 0.000000, 0.011765, 0.000000, 0.011765, 0.023529, 0.011765, 0.035294, 0.094118, 0.058824, 0.023529, 0.152941, -13.100000, -15.290000, 0.028532, 10.310000, 0.023298, 0.394834, -0.139362, -0.363889, -0.069681, -0.655000
covid19_3401-2801_InvCom_stem-480-601, 0.278689, 0.245902, 0.155738, 0.319672, 0.057851, 0.090909, 0.066116, 0.066116, 0.115702, 0.024793, 0.016529, 0.082645, 0.033058, 0.049587, 0.024793, 0.049587, 0.066116, 0.082645, 0.049587, 0.123967, 0.401639, 0.633333, 122.000000, 38.000000, 0.311475, 0.526316, 0.421053, 0.052632, 0.087719, 0.070175, 0.008772, 0.122807, 0.061404, 0.078947, 0.122807, 0.026316, 0.052632, 0.026316, 0.026316, 0.008772, 0.008772, 0.000000, 0.026316, 0.052632, 0.026316, 0.008772, 0.000000, 0.026316, 0.017544, 0.043860, 0.043860, 0.000000, 0.000000, 0.000000, 0.000000, 0.026316, 0.035088, 0.000000, 0.026316, 0.026316, 0.035088, 0.000000, 0.070175, -32.000000, -33.980000, 0.040559, 8.730000, 0.016230, 0.171211, -0.262295, -0.653061, -0.043716, -0.842105
covid19_3601-3001_InvCom_stem-176-265, 0.288889, 0.188889, 0.100000, 0.422222, 0.101124, 0.078652, 0.033708, 0.078652, 0.078652, 0.033708, 0.000000, 0.078652, 0.000000, 0.022472, 0.011236, 0.067416, 0.112360, 0.056180, 0.044944, 0.202247, 0.288889, 0.529412, 90.000000, 27.000000, 0.300000, 0.666667, 0.259259, 0.074074, 0.166667, 0.064815, 0.018519, 0.096386, 0.072289, 0.084337, 0.132530, 0.024096, 0.012048, 0.012048, 0.072289, 0.000000, 0.024096, 0.000000, 0.036145, 0.012048, 0.000000, 0.000000, 0.048193, 0.084337, 0.000000, 0.000000, 0.024096, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.024096, 0.000000, 0.024096, 0.084337, 0.072289, 0.000000, 0.060241, -16.500000, -18.050000, 0.080325, 11.470000, 0.017222, 0.360670, -0.183333, -0.634615, -0.045833, -0.611111
covid19_3601-3001_InvCom_stem-274-344, 0.281690, 0.169014, 0.197183, 0.352113, 0.114286, 0.057143, 0.057143, 0.057143, 0.057143, 0.028571, 0.000000, 0.085714, 0.057143, 0.000000, 0.028571, 0.114286, 0.057143, 0.071429, 0.114286, 0.100000, 0.366197, 1.166667, 71.000000, 24.000000, 0.338028, 0.541667, 0.333333, 0.125000, 0.135417, 0.083333, 0.031250, 0.144928, 0.057971, 0.086957, 0.130435, 0.014493, 0.057971, 0.014493, 0.043478, 0.000000, 0.028986, 0.028986, 0.028986, 0.028986, 0.014493, 0.000000, 0.014493, 0.028986, 0.000000, 0.043478, 0.057971, 0.000000, 0.000000, 0.014493, 0.000000, 0.028986, 0.000000, 0.000000, 0.028986, 0.043478, 0.000000, 0.014493, 0.043478, -17.000000, -18.680000, 0.065030, 8.530000, 0.023662, 0.332857, -0.239437, -0.653846, -0.059859, -0.708333
covid19_3601-3001_InvCom_stem-392-468, 0.272727, 0.259740, 0.168831, 0.298701, 0.105263, 0.039474, 0.092105, 0.039474, 0.105263, 0.052632, 0.000000, 0.092105, 0.039474, 0.052632, 0.039474, 0.039474, 0.026316, 0.118421, 0.039474, 0.118421, 0.428571, 0.650000, 77.000000, 20.000000, 0.259740, 0.450000, 0.550000, 0.000000, 0.225000, 0.275000, 0.000000, 0.080000, 0.080000, 0.080000, 0.080000, 0.013333, 0.026667, 0.026667, 0.040000, 0.000000, 0.026667, 0.000000, 0.026667, 0.026667, 0.000000, 0.000000, 0.026667, 0.026667, 0.040000, 0.040000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.026667, 0.000000, 0.000000, 0.026667, 0.106667, 0.080000, 0.026667, 0.093333, -20.400000, -21.690000, 0.123876, 7.100000, 0.016753, 0.284510, -0.264935, -0.618182, -0.132468, -1.020000
covid19_3601-3001_InvCom_stem-519-601, 0.313253, 0.253012, 0.120482, 0.313253, 0.109756, 0.060976, 0.048780, 0.085366, 0.109756, 0.036585, 0.000000, 0.109756, 0.048780, 0.012195, 0.036585, 0.024390, 0.048780, 0.134146, 0.036585, 0.097561, 0.373494, 0.476190, 83.000000, 19.000000, 0.228916, 0.526316, 0.421053, 0.052632, 0.175439, 0.140351, 0.017544, 0.094595, 0.081081, 0.081081, 0.108108, 0.027027, 0.000000, 0.013514, 0.013514, 0.027027, 0.000000, 0.000000, 0.000000, 0.013514, 0.027027, 0.000000, 0.000000, 0.013514, 0.013514, 0.000000, 0.027027, 0.000000, 0.000000, 0.013514, 0.000000, 0.013514, 0.013514, 0.000000, 0.013514, 0.135135, 0.108108, 0.000000, 0.162162, -17.400000, -18.760000, 0.110339, 5.990000, 0.016386, 0.205804, -0.209639, -0.561290, -0.069880, -0.915789
covid19_3701-3101_InvCom_stem-443-509, 0.208955, 0.283582, 0.134328, 0.373134, 0.045455, 0.075758, 0.015152, 0.075758, 0.090909, 0.060606, 0.015152, 0.121212, 0.045455, 0.015152, 0.000000, 0.075758, 0.030303, 0.121212, 0.106061, 0.106061, 0.417910, 0.473684, 67.000000, 15.000000, 0.223881, 0.466667, 0.533333, 0.000000, 0.233333, 0.266667, 0.000000, 0.086207, 0.034483, 0.034483, 0.068966, 0.017241, 0.051724, 0.017241, 0.034483, 0.000000, 0.000000, 0.000000, 0.034483, 0.000000, 0.051724, 0.000000, 0.051724, 0.017241, 0.034483, 0.051724, 0.017241, 0.000000, 0.000000, 0.017241, 0.000000, 0.017241, 0.017241, 0.000000, 0.051724, 0.103448, 0.103448, 0.000000, 0.086207, -10.600000, -11.570000, 0.207439, 2.800000, 0.014478, 0.107868, -0.158209, -0.378571, -0.079104, -0.706667
covid19_3901-3301_InvCom_stem-161-298, 0.347826, 0.181159, 0.195652, 0.275362, 0.131387, 0.065693, 0.072993, 0.080292, 0.087591, 0.029197, 0.014599, 0.051095, 0.058394, 0.043796, 0.036496, 0.051095, 0.065693, 0.043796, 0.072993, 0.094891, 0.376812, 1.080000, 138.000000, 36.000000, 0.260870, 0.527778, 0.444444, 0.027778, 0.105556, 0.088889, 0.005556, 0.110169, 0.059322, 0.076271, 0.127119, 0.025424, 0.050847, 0.025424, 0.008475, 0.033898, 0.016949, 0.000000, 0.016949, 0.016949, 0.000000, 0.008475, 0.016949, 0.016949, 0.025424, 0.042373, 0.025424, 0.000000, 0.000000, 0.000000, 0.000000, 0.008475, 0.008475, 0.016949, 0.008475, 0.118644, 0.042373, 0.042373, 0.050847, -29.700000, -31.530000, 0.051408, 41.850000, 0.013261, 0.824891, -0.215217, -0.571154, -0.043043, -0.825000
covid19_4001-3401_InvCom_stem-93-238, 0.301370, 0.191781, 0.150685, 0.356164, 0.110345, 0.048276, 0.075862, 0.068966, 0.075862, 0.013793, 0.013793, 0.082759, 0.055172, 0.041379, 0.013793, 0.041379, 0.055172, 0.089655, 0.048276, 0.165517, 0.342466, 0.785714, 146.000000, 46.000000, 0.315068, 0.630435, 0.239130, 0.130435, 0.105072, 0.039855, 0.021739, 0.157480, 0.055118, 0.078740, 0.212598, 0.031496, 0.015748, 0.023622, 0.031496, 0.015748, 0.015748, 0.000000, 0.000000, 0.023622, 0.015748, 0.007874, 0.023622, 0.023622, 0.015748, 0.031496, 0.023622, 0.000000, 0.000000, 0.000000, 0.000000, 0.023622, 0.015748, 0.000000, 0.023622, 0.031496, 0.031496, 0.031496, 0.039370, -25.900000, -28.850000, 0.008311, 21.710000, 0.020205, 0.414351, -0.177397, -0.518000, -0.029566, -0.563043
covid19_4401-3801_InvCom_stem-365-449, 0.282353, 0.164706, 0.152941, 0.400000, 0.107143, 0.059524, 0.083333, 0.035714, 0.071429, 0.011905, 0.000000, 0.083333, 0.047619, 0.011905, 0.011905, 0.083333, 0.059524, 0.071429, 0.059524, 0.202381, 0.317647, 0.928571, 85.000000, 23.000000, 0.270588, 0.608696, 0.304348, 0.086957, 0.121739, 0.060870, 0.017391, 0.084337, 0.084337, 0.072289, 0.096386, 0.048193, 0.000000, 0.024096, 0.036145, 0.024096, 0.000000, 0.000000, 0.012048, 0.000000, 0.036145, 0.012048, 0.024096, 0.036145, 0.000000, 0.012048, 0.060241, 0.000000, 0.000000, 0.000000, 0.000000, 0.012048, 0.000000, 0.012048, 0.048193, 0.084337, 0.036145, 0.024096, 0.120482, -17.200000, -18.590000, 0.105147, 13.430000, 0.016353, 0.447462, -0.202353, -0.637037, -0.040471, -0.747826
covid19_4601-4001_InvCom_stem-111-178, 0.294118, 0.191176, 0.147059, 0.367647, 0.044776, 0.089552, 0.059701, 0.104478, 0.074627, 0.044776, 0.014925, 0.059701, 0.029851, 0.044776, 0.029851, 0.044776, 0.134328, 0.014925, 0.044776, 0.164179, 0.338235, 0.769231, 68.000000, 13.000000, 0.191176, 0.615385, 0.384615, 0.000000, 0.307692, 0.192308, 0.000000, 0.086207, 0.034483, 0.034483, 0.086207, 0.000000, 0.034483, 0.017241, 0.034483, 0.000000, 0.017241, 0.000000, 0.017241, 0.034483, 0.000000, 0.017241, 0.000000, 0.034483, 0.017241, 0.034483, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.017241, 0.000000, 0.034483, 0.000000, 0.137931, 0.103448, 0.000000, 0.206897, -11.800000, -12.820000, 0.190273, 5.480000, 0.015000, 0.268240, -0.173529, -0.513043, -0.086765, -0.907692
covid19_4601-4001_InvCom_stem-352-453, 0.274510, 0.196078, 0.186275, 0.343137, 0.079208, 0.039604, 0.099010, 0.049505, 0.089109, 0.039604, 0.009901, 0.059406, 0.000000, 0.069307, 0.029703, 0.089109, 0.099010, 0.049505, 0.049505, 0.148515, 0.382353, 0.950000, 102.000000, 31.000000, 0.303922, 0.548387, 0.419355, 0.032258, 0.274194, 0.209677, 0.016129, 0.119565, 0.076087, 0.086957, 0.108696, 0.021739, 0.021739, 0.032609, 0.043478, 0.010870, 0.043478, 0.000000, 0.032609, 0.010870, 0.000000, 0.000000, 0.043478, 0.032609, 0.032609, 0.021739, 0.032609, 0.000000, 0.010870, 0.010870, 0.000000, 0.010870, 0.000000, 0.010870, 0.032609, 0.065217, 0.010870, 0.032609, 0.043478, -28.700000, -30.130000, 0.098297, 7.700000, 0.014020, 0.215297, -0.281373, -0.735897, -0.140686, -0.925806
covid19_4801-4201_InvCom_stem-459-520, 0.274194, 0.193548, 0.161290, 0.370968, 0.098361, 0.065574, 0.065574, 0.049180, 0.049180, 0.032787, 0.000000, 0.114754, 0.032787, 0.049180, 0.032787, 0.049180, 0.098361, 0.049180, 0.065574, 0.147541, 0.354839, 0.833333, 62.000000, 19.000000, 0.306452, 0.631579, 0.210526, 0.157895, 0.210526, 0.070175, 0.052632, 0.163636, 0.054545, 0.109091, 0.218182, 0.018182, 0.000000, 0.000000, 0.036364, 0.000000, 0.018182, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.036364, 0.036364, 0.000000, 0.000000, 0.018182, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.018182, 0.000000, 0.018182, 0.072727, 0.090909, 0.036364, 0.054545, -10.000000, -11.160000, 0.152970, 12.520000, 0.018710, 0.644521, -0.161290, -0.454545, -0.053763, -0.526316
covid19_4801-4201_InvCom_stem-516-577, 0.241935, 0.225806, 0.209677, 0.322581, 0.081967, 0.065574, 0.032787, 0.065574, 0.032787, 0.098361, 0.016393, 0.065574, 0.016393, 0.016393, 0.065574, 0.114754, 0.114754, 0.032787, 0.098361, 0.081967, 0.435484, 0.928571, 62.000000, 19.000000, 0.306452, 0.421053, 0.368421, 0.210526, 0.210526, 0.184211, 0.105263, 0.116667, 0.066667, 0.116667, 0.166667, 0.000000, 0.033333, 0.000000, 0.033333, 0.000000, 0.000000, 0.000000, 0.000000, 0.033333, 0.000000, 0.000000, 0.033333, 0.016667, 0.000000, 0.066667, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.033333, 0.016667, 0.000000, 0.033333, 0.050000, 0.083333, 0.033333, 0.066667, -18.500000, -20.050000, 0.080725, 8.820000, 0.025000, 0.391534, -0.298387, -0.685185, -0.149194, -0.973684
covid19_4901-4301_InvCom_stem-112-201, 0.355556, 0.133333, 0.233333, 0.277778, 0.123596, 0.033708, 0.123596, 0.078652, 0.089888, 0.011236, 0.011236, 0.022472, 0.067416, 0.033708, 0.033708, 0.089888, 0.078652, 0.044944, 0.067416, 0.089888, 0.366667, 1.750000, 90.000000, 20.000000, 0.222222, 0.500000, 0.400000, 0.100000, 0.166667, 0.133333, 0.033333, 0.105263, 0.065789, 0.065789, 0.105263, 0.013158, 0.013158, 0.026316, 0.026316, 0.026316, 0.000000, 0.000000, 0.000000, 0.013158, 0.000000, 0.013158, 0.026316, 0.013158, 0.000000, 0.026316, 0.026316, 0.000000, 0.000000, 0.000000, 0.000000, 0.013158, 0.000000, 0.013158, 0.013158, 0.210526, 0.052632, 0.065789, 0.065789, -17.600000, -19.610000, 0.038551, 10.300000, 0.022333, 0.342597, -0.195556, -0.533333, -0.065185, -0.880000
