miRNA Name;Gene Symbol;Gene Description;
82;submission;PPP1R12B;protein phosphatase 1 regulatory subunit 12B
82;submission;FBXW2;F-box and WD repeat domain containing 2
82;submission;TMEM151A;transmembrane protein 151A
82;submission;STRN;striatin
82;submission;EIF6;eukaryotic translation initiation factor 6
82;submission;OGN;osteoglycin
82;submission;ANKDD1A;ankyrin repeat and death domain containing 1A
82;submission;VAMP1;vesicle associated membrane protein 1
81;submission;ZBTB20;zinc finger and BTB domain containing 20
81;submission;S100A4;S100 calcium binding protein A4
81;submission;VGLL3;vestigial like family member 3
81;submission;SEC16A;SEC16 homolog A, endoplasmic reticulum export factor
81;submission;RIBC1;RIB43A domain with coiled-coils 1
81;submission;CCDC115;coiled-coil domain containing 115
80;submission;TRABD2B;TraB domain containing 2B
80;submission;STX17;syntaxin 17
80;submission;RAB11A;RAB11A, member RAS oncogene family
80;submission;SPTB;spectrin beta, erythrocytic
80;submission;MLLT3;MLLT3, super elongation complex subunit
80;submission;PPFIA2;PTPRF interacting protein alpha 2
80;submission;PDCL;phosducin like
79;submission;SLC44A1;solute carrier family 44 member 1
79;submission;MKI67;marker of proliferation Ki-67
79;submission;SS18;SS18, nBAF chromatin remodeling complex subunit
79;submission;TACR2;tachykinin receptor 2
79;submission;ANKRD52;ankyrin repeat domain 52
79;submission;ATF7IP;activating transcription factor 7 interacting protein
79;submission;PSEN1;presenilin 1
79;submission;SORCS1;sortilin related VPS10 domain containing receptor 1
79;submission;PRR15;proline rich 15
78;submission;ACTN2;actinin alpha 2
78;submission;RAPGEF5;Rap guanine nucleotide exchange factor 5
78;submission;TRIP10;thyroid hormone receptor interactor 10
78;submission;XXYLT1;xyloside xylosyltransferase 1
78;submission;ZMIZ1;zinc finger MIZ-type containing 1
77;submission;DNAJA4;DnaJ heat shock protein family (Hsp40) member A4
77;submission;NUCKS1;nuclear casein kinase and cyclin dependent kinase substrate 1
77;submission;DHX40;DEAH-box helicase 40
77;submission;GINS1;GINS complex subunit 1
77;submission;GALR1;galanin receptor 1
77;submission;TBC1D16;TBC1 domain family member 16
77;submission;CREBRF;CREB3 regulatory factor
77;submission;RDX;radixin
77;submission;SLC10A7;solute carrier family 10 member 7
77;submission;MRPS33;mitochondrial ribosomal protein S33
77;submission;ODF2;outer dense fiber of sperm tails 2
76;submission;AFF2;AF4/FMR2 family member 2
76;submission;CNFN;cornifelin
76;submission;KLF12;Kruppel like factor 12
76;submission;FBLN1;fibulin 1
76;submission;NUP133;nucleoporin 133
76;submission;ARHGEF12;Rho guanine nucleotide exchange factor 12
76;submission;LRRC19;leucine rich repeat containing 19
75;submission;LZTS1;leucine zipper tumor suppressor 1
75;submission;ZFP36L2;ZFP36 ring finger protein like 2
75;submission;PTK2;protein tyrosine kinase 2
75;submission;SERTAD3;SERTA domain containing 3
75;submission;ZC3H15;zinc finger CCCH-type containing 15
75;submission;BAIAP2;BAI1 associated protein 2
75;submission;RCAN2;regulator of calcineurin 2
75;submission;TCF12;transcription factor 12
74;submission;ZNF709;zinc finger protein 709
74;submission;FAM53A;family with sequence similarity 53 member A
74;submission;EPN2;epsin 2
74;submission;ZNF697;zinc finger protein 697
74;submission;PCLO;piccolo presynaptic cytomatrix protein
74;submission;TGFBR3;transforming growth factor beta receptor 3
74;submission;KITLG;KIT ligand
74;submission;CCDC150;coiled-coil domain containing 150
74;submission;XIRP1;xin actin binding repeat containing 1
73;submission;ARHGAP17;Rho GTPase activating protein 17
73;submission;OPCML;opioid binding protein/cell adhesion molecule like
73;submission;DUSP5;dual specificity phosphatase 5
73;submission;NOVA2;NOVA alternative splicing regulator 2
73;submission;KLRD1;killer cell lectin like receptor D1
73;submission;URB1;URB1 ribosome biogenesis homolog
73;submission;CD164L2;CD164 molecule like 2
73;submission;CXXC4;CXXC finger protein 4
73;submission;FOXN4;forkhead box N4
73;submission;CLEC4G;C-type lectin domain family 4 member G
73;submission;CEP85L;centrosomal protein 85 like
73;submission;SNX18;sorting nexin 18
73;submission;MYF5;myogenic factor 5
73;submission;CD209;CD209 molecule
72;submission;PEG10;paternally expressed 10
72;submission;SUZ12;SUZ12, polycomb repressive complex 2 subunit
72;submission;SEMA3A;semaphorin 3A
72;submission;PURA;purine rich element binding protein A
72;submission;EPB41L4A;erythrocyte membrane protein band 4.1 like 4A
72;submission;MKRN1;makorin ring finger protein 1
72;submission;CRY2;cryptochrome circadian regulator 2
72;submission;ENO1;enolase 1
72;submission;RAPH1;Ras association (RalGDS/AF-6) and pleckstrin homology domains 1
72;submission;C18orf63;chromosome 18 open reading frame 63
72;submission;PCSK1;proprotein convertase subtilisin/kexin type 1
72;submission;GIPC1;GIPC PDZ domain containing family member 1
71;submission;KDM5C;lysine demethylase 5C
71;submission;KDR;kinase insert domain receptor
71;submission;LPAR6;lysophosphatidic acid receptor 6
71;submission;FBXO30;F-box protein 30
71;submission;TSR1;TSR1, ribosome maturation factor
71;submission;RLBP1;retinaldehyde binding protein 1
71;submission;PACSIN1;protein kinase C and casein kinase substrate in neurons 1
71;submission;RGS3;regulator of G protein signaling 3
71;submission;TMEM50B;transmembrane protein 50B
71;submission;TDP2;tyrosyl-DNA phosphodiesterase 2
71;submission;NUAK2;NUAK family kinase 2
70;submission;PLXNA4;plexin A4
70;submission;NEMP1;nuclear envelope integral membrane protein 1
70;submission;SCGB1D1;secretoglobin family 1D member 1
70;submission;AMPH;amphiphysin
70;submission;REEP3;receptor accessory protein 3
70;submission;MARCKSL1;MARCKS like 1
70;submission;CLDN18;claudin 18
70;submission;PAX6;paired box 6
70;submission;CDC42SE1;CDC42 small effector 1
70;submission;FHL1;four and a half LIM domains 1
70;submission;ZNF605;zinc finger protein 605
69;submission;PRKCB;protein kinase C beta
69;submission;KLHL21;kelch like family member 21
69;submission;TMEM134;transmembrane protein 134
69;submission;CACNB2;calcium voltage-gated channel auxiliary subunit beta 2
69;submission;POU2F2;POU class 2 homeobox 2
69;submission;DPYSL3;dihydropyrimidinase like 3
69;submission;TIMP3;TIMP metallopeptidase inhibitor 3
69;submission;FMNL3;formin like 3
69;submission;MYD88;MYD88, innate immune signal transduction adaptor
68;submission;HRNR;hornerin
68;submission;C8B;complement C8 beta chain
68;submission;PLCD4;phospholipase C delta 4
68;submission;TM4SF18;transmembrane 4 L six family member 18
68;submission;ACTN1;actinin alpha 1
68;submission;P2RY2;purinergic receptor P2Y2
68;submission;DTNB;dystrobrevin beta
68;submission;DDX17;DEAD-box helicase 17
68;submission;ZNF624;zinc finger protein 624
68;submission;ENTPD1;ectonucleoside triphosphate diphosphohydrolase 1
68;submission;RGP1;RGP1 homolog, RAB6A GEF complex partner 1
68;submission;PRRC2B;proline rich coiled-coil 2B
67;submission;SLC25A46;solute carrier family 25 member 46
67;submission;SCUBE3;signal peptide, CUB domain and EGF like domain containing 3
67;submission;FNIP2;folliculin interacting protein 2
67;submission;ANKRD17;ankyrin repeat domain 17
67;submission;CRYAA2;crystallin alpha A2
67;submission;CRYAA;crystallin alpha A
67;submission;KSR2;kinase suppressor of ras 2
67;submission;PODXL;podocalyxin like
67;submission;SRSF3;serine and arginine rich splicing factor 3
67;submission;TPK1;thiamin pyrophosphokinase 1
67;submission;CACNA1E;calcium voltage-gated channel subunit alpha1 E
66;submission;ZBTB25;zinc finger and BTB domain containing 25
66;submission;TXLNG;taxilin gamma
66;submission;METTL7A;methyltransferase like 7A
66;submission;FNBP1;formin binding protein 1
66;submission;ZNF234;zinc finger protein 234
66;submission;ANTXR1;ANTXR cell adhesion molecule 1
66;submission;CREB3L2;cAMP responsive element binding protein 3 like 2
66;submission;ZNF337;zinc finger protein 337
66;submission;IGF2;insulin like growth factor 2
66;submission;FBXL7;F-box and leucine rich repeat protein 7
66;submission;RAB30;RAB30, member RAS oncogene family
66;submission;KCNJ13;potassium voltage-gated channel subfamily J member 13
66;submission;MAPRE1;microtubule associated protein RP/EB family member 1
66;submission;DCUN1D5;defective in cullin neddylation 1 domain containing 5
66;submission;FBXL20;F-box and leucine rich repeat protein 20
66;submission;YWHAG;tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein gamma
66;submission;CDH20;cadherin 20
66;submission;ST6GAL1;ST6 beta-galactoside alpha-2,6-sialyltransferase 1
66;submission;HACE1;HECT domain and ankyrin repeat containing E3 ubiquitin protein ligase 1
65;submission;B3GALNT1;beta-1,3-N-acetylgalactosaminyltransferase 1 (globoside blood group)
65;submission;TMEM229A;transmembrane protein 229A
65;submission;CDSN;corneodesmosin
65;submission;PNMA2;PNMA family member 2
65;submission;GNL1;G protein nucleolar 1 (putative)
65;submission;RFLNB;refilin B
65;submission;RSPRY1;ring finger and SPRY domain containing 1
65;submission;ATF2;activating transcription factor 2
65;submission;MKNK2;MAP kinase interacting serine/threonine kinase 2
65;submission;PHOX2B;paired like homeobox 2B
64;submission;SDK2;sidekick cell adhesion molecule 2
64;submission;PNMA5;PNMA family member 5
64;submission;CD300LG;CD300 molecule like family member g
64;submission;EIF4EBP2;eukaryotic translation initiation factor 4E binding protein 2
64;submission;PCNP;PEST proteolytic signal containing nuclear protein
64;submission;NPTXR;neuronal pentraxin receptor
64;submission;RAB22A;RAB22A, member RAS oncogene family
64;submission;COL5A1;collagen type V alpha 1 chain
64;submission;CDC14B;cell division cycle 14B
64;submission;ZNF555;zinc finger protein 555
64;submission;SOGA1;suppressor of glucose, autophagy associated 1
64;submission;WTAP;WT1 associated protein
64;submission;HHLA3;HERV-H LTR-associating 3
64;submission;PPIE;peptidylprolyl isomerase E
64;submission;WLS;Wnt ligand secretion mediator
64;submission;ZNF704;zinc finger protein 704
64;submission;MOCS3;molybdenum cofactor synthesis 3
64;submission;COL14A1;collagen type XIV alpha 1 chain
64;submission;GPR156;G protein-coupled receptor 156
63;submission;SLC24A2;solute carrier family 24 member 2
63;submission;DIPK2B;divergent protein kinase domain 2B
63;submission;GRPEL2;GrpE like 2, mitochondrial
63;submission;COLQ;collagen like tail subunit of asymmetric acetylcholinesterase
63;submission;ZNF280C;zinc finger protein 280C
63;submission;PLXNA2;plexin A2
63;submission;EPSTI1;epithelial stromal interaction 1
63;submission;GJB4;gap junction protein beta 4
63;submission;SLC9A8;solute carrier family 9 member A8
63;submission;JRK;Jrk helix-turn-helix protein
63;submission;TNFRSF12A;TNF receptor superfamily member 12A
63;submission;RSPH4A;radial spoke head component 4A
63;submission;SCNN1G;sodium channel epithelial 1 gamma subunit
63;submission;RMND5A;required for meiotic nuclear division 5 homolog A
63;submission;NUP58;nucleoporin 58
63;submission;NRG1;neuregulin 1
63;submission;RAB5C;RAB5C, member RAS oncogene family
63;submission;CX3CL1;C-X3-C motif chemokine ligand 1
63;submission;MUC15;mucin 15, cell surface associated
63;submission;ANTXR2;ANTXR cell adhesion molecule 2
63;submission;PRELP;proline and arginine rich end leucine rich repeat protein
62;submission;TKFC;triokinase and FMN cyclase
62;submission;ADGRA1;adhesion G protein-coupled receptor A1
62;submission;ADAT2;adenosine deaminase, tRNA specific 2
62;submission;SMCP;sperm mitochondria associated cysteine rich protein
62;submission;PPIP5K1;diphosphoinositol pentakisphosphate kinase 1
62;submission;MYRIP;myosin VIIA and Rab interacting protein
62;submission;IGFBP1;insulin like growth factor binding protein 1
62;submission;C14orf132;chromosome 14 open reading frame 132
62;submission;ASB3;ankyrin repeat and SOCS box containing 3
62;submission;ZRANB3;zinc finger RANBP2-type containing 3
62;submission;OTUD4;OTU deubiquitinase 4
62;submission;ZSCAN22;zinc finger and SCAN domain containing 22
61;submission;YARS;tyrosyl-tRNA synthetase
61;submission;CMTR1;cap methyltransferase 1
61;submission;MPV17;mitochondrial inner membrane protein MPV17
61;submission;ZFP2;ZFP2 zinc finger protein
61;submission;ZNF91;zinc finger protein 91
61;submission;LMO4;LIM domain only 4
61;submission;LY6G5C;lymphocyte antigen 6 family member G5C
61;submission;C5orf63;chromosome 5 open reading frame 63
61;submission;PDCD6IP;programmed cell death 6 interacting protein
61;submission;SMG7;SMG7, nonsense mediated mRNA decay factor
61;submission;RSPO4;R-spondin 4
61;submission;ITGA9;integrin subunit alpha 9
61;submission;GNG4;G protein subunit gamma 4
60;submission;EPHB1;EPH receptor B1
60;submission;RGS7BP;regulator of G protein signaling 7 binding protein
60;submission;UFSP2;UFM1 specific peptidase 2
60;submission;C9orf116;chromosome 9 open reading frame 116
60;submission;ZMAT4;zinc finger matrin-type 4
60;submission;RNF144A;ring finger protein 144A
60;submission;ATXN7;ataxin 7
60;submission;PPM1N;protein phosphatase, Mg2+/Mn2+ dependent 1N (putative)
60;submission;EOMES;eomesodermin
60;submission;ZNF480;zinc finger protein 480
60;submission;PPARGC1A;PPARG coactivator 1 alpha
60;submission;KCNMA1;potassium calcium-activated channel subfamily M alpha 1
60;submission;ZC4H2;zinc finger C4H2-type containing
59;submission;DYRK4;dual specificity tyrosine phosphorylation regulated kinase 4
59;submission;CAPZA1;capping actin protein of muscle Z-line subunit alpha 1
59;submission;MB21D2;Mab-21 domain containing 2
59;submission;OAS2;2'-5'-oligoadenylate synthetase 2
59;submission;LOC403312;putative uncharacterized protein MGC39545
59;submission;SIM2;SIM bHLH transcription factor 2
59;submission;ACER3;alkaline ceramidase 3
59;submission;SCRN1;secernin 1
59;submission;LPGAT1;lysophosphatidylglycerol acyltransferase 1
59;submission;NUDT5;nudix hydrolase 5
59;submission;ACBD6;acyl-CoA binding domain containing 6
59;submission;TMEM192;transmembrane protein 192
59;submission;LDLRAD4;low density lipoprotein receptor class A domain containing 4
59;submission;SIRT1;sirtuin 1
59;submission;C15orf53;chromosome 15 open reading frame 53
58;submission;IMPAD1;inositol monophosphatase domain containing 1
58;submission;DGKD;diacylglycerol kinase delta
58;submission;ZNF701;zinc finger protein 701
58;submission;GALNT15;polypeptide N-acetylgalactosaminyltransferase 15
58;submission;AAK1;AP2 associated kinase 1
58;submission;ZNF585B;zinc finger protein 585B
58;submission;HGSNAT;heparan-alpha-glucosaminide N-acetyltransferase
58;submission;NLRP2B;NLR family pyrin domain containing 2B
58;submission;PSD3;pleckstrin and Sec7 domain containing 3
58;submission;RAG1;recombination activating 1
58;submission;BEND6;BEN domain containing 6
58;submission;KLK10;kallikrein related peptidase 10
58;submission;RECQL5;RecQ like helicase 5
58;submission;CYB5D1;cytochrome b5 domain containing 1
58;submission;EPG5;ectopic P-granules autophagy protein 5 homolog
58;submission;PIK3C2A;phosphatidylinositol-4-phosphate 3-kinase catalytic subunit type 2 alpha
58;submission;NTM;neurotrimin
57;submission;SPN;sialophorin
57;submission;RUVBL2;RuvB like AAA ATPase 2
57;submission;AQP1;aquaporin 1 (Colton blood group)
57;submission;FCHSD1;FCH and double SH3 domains 1
57;submission;EDN3;endothelin 3
57;submission;MAP3K2;mitogen-activated protein kinase kinase kinase 2
57;submission;BEND2;BEN domain containing 2
57;submission;CTCFL;CCCTC-binding factor like
57;submission;FGD4;FYVE, RhoGEF and PH domain containing 4
57;submission;ERCC8;ERCC excision repair 8, CSA ubiquitin ligase complex subunit
57;submission;APEX2;apurinic/apyrimidinic endodeoxyribonuclease 2
57;submission;VSTM2L;V-set and transmembrane domain containing 2 like
57;submission;GJA9;gap junction protein alpha 9
57;submission;XPO5;exportin 5
57;submission;MAB21L4;mab-21 like 4
56;submission;FRAT2;FRAT2, WNT signaling pathway regulator
56;submission;RIMS3;regulating synaptic membrane exocytosis 3
56;submission;NOG;noggin
56;submission;ADGRG4;adhesion G protein-coupled receptor G4
56;submission;KIR3DL2;killer cell immunoglobulin like receptor, three Ig domains and long cytoplasmic tail 2
56;submission;CXorf40A;chromosome X open reading frame 40A
56;submission;ZNF529;zinc finger protein 529
56;submission;SEMA6A;semaphorin 6A
56;submission;LRRC18;leucine rich repeat containing 18
56;submission;ERCC1;ERCC excision repair 1, endonuclease non-catalytic subunit
56;submission;TRIM67;tripartite motif containing 67
56;submission;TRIM44;tripartite motif containing 44
56;submission;SNX30;sorting nexin family member 30
56;submission;LUZP1;leucine zipper protein 1
56;submission;SCARA5;scavenger receptor class A member 5
55;submission;POFUT2;protein O-fucosyltransferase 2
55;submission;PREP;prolyl endopeptidase
55;submission;ADAL;adenosine deaminase like
55;submission;LYPD5;LY6/PLAUR domain containing 5
55;submission;GAS7;growth arrest specific 7
55;submission;NCMAP;non-compact myelin associated protein
55;submission;CSPP1;centrosome and spindle pole associated protein 1
55;submission;TMEM189-UBE2V1;TMEM189-UBE2V1 readthrough
55;submission;UBE2V1;ubiquitin conjugating enzyme E2 V1
55;submission;GRIN2D;glutamate ionotropic receptor NMDA type subunit 2D
55;submission;FAM129C;family with sequence similarity 129 member C
55;submission;B9D1;B9 domain containing 1
55;submission;ARMCX6;armadillo repeat containing X-linked 6
55;submission;AFF3;AF4/FMR2 family member 3
54;submission;CUX1;cut like homeobox 1
54;submission;ERFE;erythroferrone
54;submission;KIR2DL1;killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 1
54;submission;TYW5;tRNA-yW synthesizing protein 5
54;submission;PTPRT;protein tyrosine phosphatase, receptor type T
54;submission;CCER1;coiled-coil glutamate rich protein 1
54;submission;ATP6V1C1;ATPase H+ transporting V1 subunit C1
54;submission;ENTPD7;ectonucleoside triphosphate diphosphohydrolase 7
54;submission;RAP1B;RAP1B, member of RAS oncogene family
54;submission;SLC25A23;solute carrier family 25 member 23
54;submission;ANHX;anomalous homeobox
54;submission;PIANP;PILR alpha associated neural protein
54;submission;IQSEC2;IQ motif and Sec7 domain 2
54;submission;ZNF839;zinc finger protein 839
54;submission;TMX4;thioredoxin related transmembrane protein 4
54;submission;RBFOX1;RNA binding fox-1 homolog 1
53;submission;KIR2DL4;killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 4
53;submission;PIAS4;protein inhibitor of activated STAT 4
53;submission;COX15;cytochrome c oxidase assembly homolog COX15
53;submission;MMP16;matrix metallopeptidase 16
53;submission;LY6K;lymphocyte antigen 6 family member K
53;submission;ETV4;ETS variant 4
53;submission;MOGAT2;monoacylglycerol O-acyltransferase 2
53;submission;MED8;mediator complex subunit 8
53;submission;ZNF507;zinc finger protein 507
53;submission;CEP68;centrosomal protein 68
53;submission;SIRPB1;signal regulatory protein beta 1
53;submission;ZNF793;zinc finger protein 793
53;submission;GDNF;glial cell derived neurotrophic factor
53;submission;CLIC5;chloride intracellular channel 5
53;submission;APPL2;adaptor protein, phosphotyrosine interacting with PH domain and leucine zipper 2
53;submission;TMPRSS11A;transmembrane serine protease 11A
52;submission;MXD3;MAX dimerization protein 3
52;submission;SNX29;sorting nexin 29
52;submission;PCYT1B;phosphate cytidylyltransferase 1, choline, beta
52;submission;HAPLN1;hyaluronan and proteoglycan link protein 1
52;submission;FOXN2;forkhead box N2
52;submission;TUSC3;tumor suppressor candidate 3
52;submission;BMS1;BMS1, ribosome biogenesis factor
52;submission;SLC5A7;solute carrier family 5 member 7
52;submission;DDAH1;dimethylarginine dimethylaminohydrolase 1
52;submission;C11orf87;chromosome 11 open reading frame 87
52;submission;PIWIL3;piwi like RNA-mediated gene silencing 3
52;submission;TBC1D7-LOC100130357;TBC1D7-LOC100130357 readthrough
52;submission;FAM104A;family with sequence similarity 104 member A
51;submission;MIER3;MIER family member 3
51;submission;TWNK;twinkle mtDNA helicase
51;submission;TIGIT;T cell immunoreceptor with Ig and ITIM domains
51;submission;DNAJC15;DnaJ heat shock protein family (Hsp40) member C15
51;submission;PLEKHG4B;pleckstrin homology and RhoGEF domain containing G4B
51;submission;SCG3;secretogranin III
51;submission;TLNRD1;talin rod domain containing 1
51;submission;ZNF224;zinc finger protein 224
51;submission;GCM1;glial cells missing transcription factor 1
50;submission;C6orf89;chromosome 6 open reading frame 89
50;submission;NSD3;nuclear receptor binding SET domain protein 3
50;submission;ARHGAP36;Rho GTPase activating protein 36
50;submission;TEAD1;TEA domain transcription factor 1
50;submission;PCDHB16;protocadherin beta 16
50;submission;CFAP65;cilia and flagella associated protein 65
50;submission;DDIT4L;DNA damage inducible transcript 4 like
50;submission;CASP7;caspase 7
50;submission;KIF2B;kinesin family member 2B
50;submission;SPATS2;spermatogenesis associated serine rich 2
50;submission;UGGT1;UDP-glucose glycoprotein glucosyltransferase 1
50;submission;OGFOD1;2-oxoglutarate and iron dependent oxygenase domain containing 1
50;submission;NTNG1;netrin G1
50;submission;PLPP1;phospholipid phosphatase 1
50;submission;FNTB;farnesyltransferase, CAAX box, beta
50;submission;CPS1;carbamoyl-phosphate synthase 1
50;submission;CNGB1;cyclic nucleotide gated channel beta 1
50;submission;CHURC1-FNTB;CHURC1-FNTB readthrough
50;submission;FAM160B1;family with sequence similarity 160 member B1
50;submission;GOSR2;golgi SNAP receptor complex member 2
