miRNA Name;Gene Symbol;Gene Description;
85;submission;PPP1R3B;protein phosphatase 1 regulatory subunit 3B
85;submission;LRIG3;leucine rich repeats and immunoglobulin like domains 3
85;submission;CEP97;centrosomal protein 97
85;submission;CNST;consortin, connexin sorting protein
85;submission;DEPDC1;DEP domain containing 1
85;submission;C17orf80;chromosome 17 open reading frame 80
85;submission;TAB2;TGF-beta activated kinase 1 (MAP3K7) binding protein 2
85;submission;DEFA1;defensin alpha 1
85;submission;DEFA1B;defensin alpha 1B
85;submission;MYLK3;myosin light chain kinase 3
85;submission;KCNS3;potassium voltage-gated channel modifier subfamily S member 3
85;submission;SNX16;sorting nexin 16
85;submission;KIAA2013;KIAA2013
85;submission;ZKSCAN4;zinc finger with KRAB and SCAN domains 4
84;submission;PHIP;pleckstrin homology domain interacting protein
84;submission;PUS3;pseudouridine synthase 3
84;submission;CARTPT;CART prepropeptide
84;submission;ANKRD22;ankyrin repeat domain 22
84;submission;SOX3;SRY-box 3
84;submission;FAM122B;family with sequence similarity 122B
84;submission;PITPNM3;PITPNM family member 3
83;submission;C2orf49;chromosome 2 open reading frame 49
83;submission;ZDHHC2;zinc finger DHHC-type containing 2
83;submission;CXCL3;C-X-C motif chemokine ligand 3
83;submission;PARK7;Parkinsonism associated deglycase
83;submission;PTBP1;polypyrimidine tract binding protein 1
83;submission;TGFBR3;transforming growth factor beta receptor 3
83;submission;GYPA;glycophorin A (MNS blood group)
83;submission;DNAJB14;DnaJ heat shock protein family (Hsp40) member B14
83;submission;PDHA2;pyruvate dehydrogenase E1 alpha 2 subunit
83;submission;CAPZA1;capping actin protein of muscle Z-line subunit alpha 1
83;submission;THRSP;thyroid hormone responsive
83;submission;MR1;major histocompatibility complex, class I-related
83;submission;NTRK2;neurotrophic receptor tyrosine kinase 2
82;submission;KIF1BP;KIF1 binding protein
82;submission;NFIB;nuclear factor I B
82;submission;DHX40;DEAH-box helicase 40
82;submission;MARCKS;myristoylated alanine rich protein kinase C substrate
82;submission;CDK19;cyclin dependent kinase 19
82;submission;WDR7;WD repeat domain 7
82;submission;FOXL2;forkhead box L2
82;submission;TRAFD1;TRAF-type zinc finger domain containing 1
81;submission;PAQR3;progestin and adipoQ receptor family member 3
81;submission;NUFIP2;nuclear FMR1 interacting protein 2
81;submission;GPR85;G protein-coupled receptor 85
81;submission;SEC61A1;Sec61 translocon alpha 1 subunit
81;submission;PMPCB;peptidase, mitochondrial processing beta subunit
81;submission;ITGA8;integrin subunit alpha 8
81;submission;RBBP6;RB binding protein 6, ubiquitin ligase
81;submission;RAPGEFL1;Rap guanine nucleotide exchange factor like 1
81;submission;SH3RF1;SH3 domain containing ring finger 1
81;submission;MAP2;microtubule associated protein 2
81;submission;AKIRIN2;akirin 2
81;submission;CSDC2;cold shock domain containing C2
81;submission;MLEC;malectin
81;submission;RIPOR3;RIPOR family member 3
80;submission;SAP30L;SAP30 like
80;submission;ATP8A1;ATPase phospholipid transporting 8A1
80;submission;B4GALT5;beta-1,4-galactosyltransferase 5
80;submission;ZNF28;zinc finger protein 28
80;submission;CAP2;cyclase associated actin cytoskeleton regulatory protein 2
80;submission;CREB5;cAMP responsive element binding protein 5
80;submission;GTF2E1;general transcription factor IIE subunit 1
80;submission;CCDC117;coiled-coil domain containing 117
80;submission;ANO5;anoctamin 5
80;submission;BBX;BBX, HMG-box containing
80;submission;MAGEA6;MAGE family member A6
80;submission;MAGEA3;MAGE family member A3
79;submission;SLC35F5;solute carrier family 35 member F5
79;submission;BCL7A;BCL7A, BAF complex component
79;submission;UHMK1;U2AF homology motif kinase 1
79;submission;FAM71F2;family with sequence similarity 71 member F2
79;submission;IREB2;iron responsive element binding protein 2
79;submission;ZNF83;zinc finger protein 83
79;submission;PDLIM5;PDZ and LIM domain 5
79;submission;TRIM36;tripartite motif containing 36
79;submission;GGA2;golgi associated, gamma adaptin ear containing, ARF binding protein 2
79;submission;DDX3Y;DEAD-box helicase 3 Y-linked
79;submission;ETFBKMT;electron transfer flavoprotein subunit beta lysine methyltransferase
78;submission;LRRC20;leucine rich repeat containing 20
78;submission;MED4;mediator complex subunit 4
78;submission;LOC102723360;uncharacterized LOC102723360
78;submission;LOC102724843;uncharacterized LOC102724843
78;submission;LOC102724219;uncharacterized LOC102724219
78;submission;LOC102724951;uncharacterized LOC102724951
78;submission;CEBPA;CCAAT enhancer binding protein alpha
78;submission;RFX3;regulatory factor X3
78;submission;SHOC2;SHOC2, leucine rich repeat scaffold protein
78;submission;TMEM196;transmembrane protein 196
78;submission;USP14;ubiquitin specific peptidase 14
77;submission;PCBP2;poly(rC) binding protein 2
77;submission;HSD17B7;hydroxysteroid 17-beta dehydrogenase 7
77;submission;GREM1;gremlin 1, DAN family BMP antagonist
77;submission;ZNF37A;zinc finger protein 37A
77;submission;ARHGEF12;Rho guanine nucleotide exchange factor 12
77;submission;RBPJ;recombination signal binding protein for immunoglobulin kappa J region
77;submission;ALDH9A1;aldehyde dehydrogenase 9 family member A1
77;submission;SEMA5A;semaphorin 5A
77;submission;TAOK1;TAO kinase 1
77;submission;KMT5B;lysine methyltransferase 5B
77;submission;GRID1;glutamate ionotropic receptor delta type subunit 1
77;submission;FETUB;fetuin B
77;submission;ILDR2;immunoglobulin like domain containing receptor 2
77;submission;ANKRD12;ankyrin repeat domain 12
77;submission;RAB11FIP2;RAB11 family interacting protein 2
77;submission;SAMD13;sterile alpha motif domain containing 13
77;submission;ZKSCAN7;zinc finger with KRAB and SCAN domains 7
77;submission;PDCD2;programmed cell death 2
77;submission;USP49;ubiquitin specific peptidase 49
76;submission;ZNF582;zinc finger protein 582
76;submission;PPM1L;protein phosphatase, Mg2+/Mn2+ dependent 1L
76;submission;SLC12A5;solute carrier family 12 member 5
76;submission;HOMEZ;homeobox and leucine zipper encoding
76;submission;RPS6KA3;ribosomal protein S6 kinase A3
76;submission;KLF12;Kruppel like factor 12
76;submission;NAV2;neuron navigator 2
76;submission;C3orf70;chromosome 3 open reading frame 70
75;submission;DNMT3B;DNA methyltransferase 3 beta
75;submission;ZFP90;ZFP90 zinc finger protein
75;submission;DCTN4;dynactin subunit 4
75;submission;PGBD2;piggyBac transposable element derived 2
75;submission;USP28;ubiquitin specific peptidase 28
75;submission;INO80D;INO80 complex subunit D
75;submission;ATP1B1;ATPase Na+/K+ transporting subunit beta 1
75;submission;PPM1B;protein phosphatase, Mg2+/Mn2+ dependent 1B
75;submission;CAPRIN2;caprin family member 2
75;submission;RBM5;RNA binding motif protein 5
75;submission;ILDR1;immunoglobulin like domain containing receptor 1
75;submission;C8orf34;chromosome 8 open reading frame 34
74;submission;PUM1;pumilio RNA binding family member 1
74;submission;ADAMTS3;ADAM metallopeptidase with thrombospondin type 1 motif 3
74;submission;TCF12;transcription factor 12
74;submission;GAREM1;GRB2 associated regulator of MAPK1 subtype 1
74;submission;TP53INP1;tumor protein p53 inducible nuclear protein 1
74;submission;CLIP3;CAP-Gly domain containing linker protein 3
74;submission;RRAS2;RAS related 2
74;submission;MRGPRF;MAS related GPR family member F
74;submission;GRSF1;G-rich RNA sequence binding factor 1
74;submission;MEF2C;myocyte enhancer factor 2C
74;submission;MAT2B;methionine adenosyltransferase 2B
74;submission;ADAM10;ADAM metallopeptidase domain 10
74;submission;RPL36A;ribosomal protein L36a
74;submission;MIB1;mindbomb E3 ubiquitin protein ligase 1
74;submission;PEX19;peroxisomal biogenesis factor 19
73;submission;CCDC30;coiled-coil domain containing 30
73;submission;BEND3;BEN domain containing 3
73;submission;PCLO;piccolo presynaptic cytomatrix protein
73;submission;SPTLC1;serine palmitoyltransferase long chain base subunit 1
73;submission;ZNF609;zinc finger protein 609
73;submission;MCC;MCC, WNT signaling pathway regulator
73;submission;CADPS2;calcium dependent secretion activator 2
73;submission;USP6;ubiquitin specific peptidase 6
73;submission;RPRD1A;regulation of nuclear pre-mRNA domain containing 1A
72;submission;SCN9A;sodium voltage-gated channel alpha subunit 9
72;submission;VAPB;VAMP associated protein B and C
72;submission;PEX5;peroxisomal biogenesis factor 5
72;submission;TBL1XR1;transducin beta like 1 X-linked receptor 1
72;submission;SPATS2;spermatogenesis associated serine rich 2
72;submission;ARPP19;cAMP regulated phosphoprotein 19
72;submission;COL4A3BP;collagen type IV alpha 3 binding protein
72;submission;JAG2;jagged 2
72;submission;WASF2;WAS protein family member 2
72;submission;RAB3IL1;RAB3A interacting protein like 1
72;submission;CCDC136;coiled-coil domain containing 136
72;submission;PGM1;phosphoglucomutase 1
72;submission;ZSWIM6;zinc finger SWIM-type containing 6
72;submission;RNF150;ring finger protein 150
72;submission;PARP16;poly(ADP-ribose) polymerase family member 16
71;submission;CEP112;centrosomal protein 112
71;submission;RAF1;Raf-1 proto-oncogene, serine/threonine kinase
71;submission;MTHFD2;methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 2, methenyltetrahydrofolate cyclohydrolase
71;submission;NBEA;neurobeachin
71;submission;SLC33A1;solute carrier family 33 member 1
71;submission;SLC1A2;solute carrier family 1 member 2
71;submission;C16orf47;chromosome 16 open reading frame 47
71;submission;ATF7;activating transcription factor 7
71;submission;TIPIN;TIMELESS interacting protein
71;submission;FGF14;fibroblast growth factor 14
71;submission;ITSN1;intersectin 1
71;submission;BVES;blood vessel epicardial substance
70;submission;GAPVD1;GTPase activating protein and VPS9 domains 1
70;submission;METAP1;methionyl aminopeptidase 1
70;submission;ANKHD1;ankyrin repeat and KH domain containing 1
70;submission;HNRNPR;heterogeneous nuclear ribonucleoprotein R
70;submission;ARNTL;aryl hydrocarbon receptor nuclear translocator like
70;submission;RPL22;ribosomal protein L22
70;submission;NDRG1;N-myc downstream regulated 1
70;submission;UNC80;unc-80 homolog, NALCN channel complex subunit
70;submission;PNN;pinin, desmosome associated protein
70;submission;UCP3;uncoupling protein 3
70;submission;TMED10;transmembrane p24 trafficking protein 10
70;submission;VPS4B;vacuolar protein sorting 4 homolog B
69;submission;AHCTF1;AT-hook containing transcription factor 1
69;submission;TSHZ1;teashirt zinc finger homeobox 1
69;submission;ALK;ALK receptor tyrosine kinase
69;submission;CFL2;cofilin 2
69;submission;TAF9B;TATA-box binding protein associated factor 9b
69;submission;SFRP2;secreted frizzled related protein 2
69;submission;PENK;proenkephalin
69;submission;RIT1;Ras like without CAAX 1
69;submission;KDELR2;KDEL endoplasmic reticulum protein retention receptor 2
69;submission;FST;follistatin
69;submission;ANK1;ankyrin 1
69;submission;CNOT7;CCR4-NOT transcription complex subunit 7
69;submission;CDKL5;cyclin dependent kinase like 5
68;submission;NXF1;nuclear RNA export factor 1
68;submission;BMPR2;bone morphogenetic protein receptor type 2
68;submission;FGL2;fibrinogen like 2
68;submission;PGR;progesterone receptor
68;submission;SORL1;sortilin related receptor 1
68;submission;LDHAL6A;lactate dehydrogenase A like 6A
68;submission;TIPRL;TOR signaling pathway regulator
68;submission;PSAP;prosaposin
68;submission;PRRC2B;proline rich coiled-coil 2B
67;submission;UBXN2B;UBX domain protein 2B
67;submission;RNGTT;RNA guanylyltransferase and 5'-phosphatase
67;submission;FRAS1;Fraser extracellular matrix complex subunit 1
67;submission;RIMKLB;ribosomal modification protein rimK like family member B
67;submission;WIPF2;WAS/WASL interacting protein family member 2
67;submission;KCNK13;potassium two pore domain channel subfamily K member 13
67;submission;STARD7;StAR related lipid transfer domain containing 7
67;submission;CERS5;ceramide synthase 5
66;submission;USP31;ubiquitin specific peptidase 31
66;submission;NEGR1;neuronal growth regulator 1
66;submission;YWHAQ;tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein theta
66;submission;CCN4;cellular communication network factor 4
66;submission;PEAK1;pseudopodium enriched atypical kinase 1
66;submission;MIER1;MIER1 transcriptional regulator
66;submission;EIF2S2;eukaryotic translation initiation factor 2 subunit beta
66;submission;PLEKHA3;pleckstrin homology domain containing A3
66;submission;SPRED3;sprouty related EVH1 domain containing 3
66;submission;CDK6;cyclin dependent kinase 6
65;submission;RAB5B;RAB5B, member RAS oncogene family
65;submission;PPAT;phosphoribosyl pyrophosphate amidotransferase
65;submission;TMEM185A;transmembrane protein 185A
65;submission;POM121;POM121 transmembrane nucleoporin
65;submission;ago-01;argonaute RISC catalytic component 1
65;submission;GSE1;Gse1 coiled-coil protein
65;submission;CHD4;chromodomain helicase DNA binding protein 4
65;submission;GRHL2;grainyhead like transcription factor 2
65;submission;STK25;serine/threonine kinase 25
65;submission;PTP4A2;protein tyrosine phosphatase type IVA, member 2
65;submission;POLR2A;RNA polymerase II subunit A
65;submission;RDX;radixin
65;submission;SMC6;structural maintenance of chromosomes 6
65;submission;BRWD3;bromodomain and WD repeat domain containing 3
64;submission;FLOT1;flotillin 1
64;submission;ANKS1B;ankyrin repeat and sterile alpha motif domain containing 1B
64;submission;ZNF561;zinc finger protein 561
64;submission;FOSL1;FOS like 1, AP-1 transcription factor subunit
64;submission;EPC1;enhancer of polycomb homolog 1
64;submission;CSHL1;chorionic somatomammotropin hormone like 1
64;submission;CCDC125;coiled-coil domain containing 125
64;submission;SVOP;SV2 related protein
64;submission;SNRPA1;small nuclear ribonucleoprotein polypeptide A'
64;submission;SIGLECL1;SIGLEC family like 1
64;submission;PRND;prion like protein doppel
64;submission;RUNDC3B;RUN domain containing 3B
64;submission;MEIOB;meiosis specific with OB domains
64;submission;C12orf66;chromosome 12 open reading frame 66
64;submission;ZBTB21;zinc finger and BTB domain containing 21
63;submission;BICRAL;BRD4 interacting chromatin remodeling complex associated protein like
63;submission;ADNP;activity dependent neuroprotector homeobox
63;submission;MAP3K15;mitogen-activated protein kinase kinase kinase 15
63;submission;SON;SON DNA binding protein
63;submission;IL1A;interleukin 1 alpha
63;submission;CCDC71L;coiled-coil domain containing 71 like
63;submission;MAP3K3;mitogen-activated protein kinase kinase kinase 3
63;submission;AGPS;alkylglycerone phosphate synthase
63;submission;TUT4;terminal uridylyl transferase 4
63;submission;SMPD3;sphingomyelin phosphodiesterase 3
62;submission;EPC2;enhancer of polycomb homolog 2
62;submission;P2RY8;P2Y receptor family member 8
62;submission;ENSA;endosulfine alpha
62;submission;GPAT4;glycerol-3-phosphate acyltransferase 4
62;submission;RNF149;ring finger protein 149
62;submission;NEK9;NIMA related kinase 9
62;submission;SPIN4;spindlin family member 4
62;submission;GUCY1B1;guanylate cyclase 1 soluble subunit beta 1
62;submission;COPRS;coordinator of PRMT5 and differentiation stimulator
62;submission;TMEM170B;transmembrane protein 170B
62;submission;PNRC1;proline rich nuclear receptor coactivator 1
62;submission;FAM160B1;family with sequence similarity 160 member B1
62;submission;KDELR3;KDEL endoplasmic reticulum protein retention receptor 3
61;submission;LZTS1;leucine zipper tumor suppressor 1
61;submission;KRTAP5-8;keratin associated protein 5-8
61;submission;RNF24;ring finger protein 24
61;submission;GRM7;glutamate metabotropic receptor 7
61;submission;ZFHX3;zinc finger homeobox 3
61;submission;C16orf71;chromosome 16 open reading frame 71
61;submission;RBBP9;RB binding protein 9, serine hydrolase
61;submission;ZDHHC21;zinc finger DHHC-type containing 21
61;submission;ZNF330;zinc finger protein 330
61;submission;CWC27;CWC27 spliceosome associated protein homolog
61;submission;ZNF649;zinc finger protein 649
61;submission;GPX8;glutathione peroxidase 8 (putative)
61;submission;LMX1B;LIM homeobox transcription factor 1 beta
61;submission;CD2AP;CD2 associated protein
61;submission;NEXMIF;neurite extension and migration factor
61;submission;PPP1R1C;protein phosphatase 1 regulatory inhibitor subunit 1C
61;submission;PRPF31;pre-mRNA processing factor 31
60;submission;CD58;CD58 molecule
60;submission;ACVR1C;activin A receptor type 1C
60;submission;BUB1B;BUB1 mitotic checkpoint serine/threonine kinase B
60;submission;GFRA1;GDNF family receptor alpha 1
60;submission;VRTN;vertebrae development associated
60;submission;PMEPA1;prostate transmembrane protein, androgen induced 1
60;submission;CHCHD4;coiled-coil-helix-coiled-coil-helix domain containing 4
60;submission;CLHC1;clathrin heavy chain linker domain containing 1
60;submission;CLEC2D;C-type lectin domain family 2 member D
60;submission;HNRNPUL2;heterogeneous nuclear ribonucleoprotein U like 2
60;submission;PPM1A;protein phosphatase, Mg2+/Mn2+ dependent 1A
60;submission;AZIN1;antizyme inhibitor 1
60;submission;ANOS1;anosmin 1
60;submission;HOXD8;homeobox D8
60;submission;STX2;syntaxin 2
59;submission;HMGN3;high mobility group nucleosomal binding domain 3
59;submission;KCTD7;potassium channel tetramerization domain containing 7
59;submission;RHOA;ras homolog family member A
59;submission;FHIT;fragile histidine triad
59;submission;SP4;Sp4 transcription factor
59;submission;HRK;harakiri, BCL2 interacting protein
59;submission;ZNF432;zinc finger protein 432
59;submission;MINDY2;MINDY lysine 48 deubiquitinase 2
59;submission;SPTY2D1;SPT2 chromatin protein domain containing 1
59;submission;SOX4;SRY-box 4
59;submission;TMA16;translation machinery associated 16 homolog
59;submission;SLC36A2;solute carrier family 36 member 2
59;submission;NCALD;neurocalcin delta
59;submission;COX7A2;cytochrome c oxidase subunit 7A2
59;submission;REG1A;regenerating family member 1 alpha
58;submission;CSK;C-terminal Src kinase
58;submission;PALM2;paralemmin 2
58;submission;ZNF347;zinc finger protein 347
58;submission;BTBD3;BTB domain containing 3
58;submission;MUC13;mucin 13, cell surface associated
58;submission;ADGRL3;adhesion G protein-coupled receptor L3
57;submission;GH2;growth hormone 2
57;submission;SPRTN;SprT-like N-terminal domain
57;submission;FOXR2;forkhead box R2
57;submission;KDSR;3-ketodihydrosphingosine reductase
57;submission;FAM189A2;family with sequence similarity 189 member A2
57;submission;CSH1;chorionic somatomammotropin hormone 1
57;submission;GH1;growth hormone 1
57;submission;ANO6;anoctamin 6
57;submission;ZNF544;zinc finger protein 544
57;submission;BEST4;bestrophin 4
57;submission;EMC3;ER membrane protein complex subunit 3
57;submission;LMO7;LIM domain 7
57;submission;ULK4;unc-51 like kinase 4
57;submission;RBM43;RNA binding motif protein 43
57;submission;GOSR2;golgi SNAP receptor complex member 2
57;submission;HTRA3;HtrA serine peptidase 3
57;submission;C6orf203;chromosome 6 open reading frame 203
57;submission;SETD2;SET domain containing 2, histone lysine methyltransferase
56;submission;PDK3;pyruvate dehydrogenase kinase 3
56;submission;GABRB2;gamma-aminobutyric acid type A receptor beta2 subunit
56;submission;TBC1D10A;TBC1 domain family member 10A
56;submission;CAPN2;calpain 2
56;submission;TMEM135;transmembrane protein 135
56;submission;ITPRID2;ITPR interacting domain containing 2
56;submission;PUM2;pumilio RNA binding family member 2
56;submission;ZBTB38;zinc finger and BTB domain containing 38
56;submission;SLC35A4;solute carrier family 35 member A4
56;submission;ZNRD1;zinc ribbon domain containing 1
56;submission;ZNF503;zinc finger protein 503
56;submission;AKR1D1;aldo-keto reductase family 1 member D1
56;submission;CLIC4;chloride intracellular channel 4
56;submission;ADCY7;adenylate cyclase 7
56;submission;PGP;phosphoglycolate phosphatase
56;submission;GNAI3;G protein subunit alpha i3
55;submission;AP1AR;adaptor related protein complex 1 associated regulatory protein
55;submission;FOXC1;forkhead box C1
55;submission;LIFR;LIF receptor alpha
55;submission;JOSD1;Josephin domain containing 1
55;submission;MLLT3;MLLT3, super elongation complex subunit
55;submission;SUOX;sulfite oxidase
55;submission;ST8SIA3;ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 3
55;submission;FLRT3;fibronectin leucine rich transmembrane protein 3
55;submission;HOOK1;hook microtubule tethering protein 1
55;submission;CEBPG;CCAAT enhancer binding protein gamma
55;submission;RECK;reversion inducing cysteine rich protein with kazal motifs
54;submission;CDADC1;cytidine and dCMP deaminase domain containing 1
54;submission;RNF115;ring finger protein 115
54;submission;CCDC88A;coiled-coil domain containing 88A
54;submission;HSP90AB1;heat shock protein 90 alpha family class B member 1
54;submission;ANGPTL2;angiopoietin like 2
54;submission;ODR4;odr-4 GPCR localization factor homolog
54;submission;INCA1;inhibitor of CDK, cyclin A1 interacting protein 1
54;submission;CSH2;chorionic somatomammotropin hormone 2
54;submission;LIMS1;LIM zinc finger domain containing 1
54;submission;C11orf96;chromosome 11 open reading frame 96
54;submission;UBE2I;ubiquitin conjugating enzyme E2 I
54;submission;MBNL1;muscleblind like splicing regulator 1
54;submission;ANGPT2;angiopoietin 2
54;submission;RAB27B;RAB27B, member RAS oncogene family
54;submission;HLA-E;major histocompatibility complex, class I, E
53;submission;SETBP1;SET binding protein 1
53;submission;CCL21;C-C motif chemokine ligand 21
53;submission;CGREF1;cell growth regulator with EF-hand domain 1
53;submission;ATL3;atlastin GTPase 3
53;submission;TMEM64;transmembrane protein 64
53;submission;FNBP1L;formin binding protein 1 like
53;submission;MYO10;myosin X
53;submission;ITSN2;intersectin 2
53;submission;MARCH8;membrane associated ring-CH-type finger 8
53;submission;PPP1R3E;protein phosphatase 1 regulatory subunit 3E
53;submission;PARP14;poly(ADP-ribose) polymerase family member 14
53;submission;POLI;DNA polymerase iota
53;submission;BDNF;brain derived neurotrophic factor
53;submission;SELENOI;selenoprotein I
53;submission;CASK;calcium/calmodulin dependent serine protein kinase
53;submission;EIF3B;eukaryotic translation initiation factor 3 subunit B
52;submission;FANCA;FA complementation group A
52;submission;ANKRD6;ankyrin repeat domain 6
52;submission;PSD3;pleckstrin and Sec7 domain containing 3
52;submission;SHANK2;SH3 and multiple ankyrin repeat domains 2
52;submission;PIWIL2;piwi like RNA-mediated gene silencing 2
52;submission;GABRG2;gamma-aminobutyric acid type A receptor gamma2 subunit
52;submission;PLCG2;phospholipase C gamma 2
52;submission;FOXL2NB;FOXL2 neighbor
52;submission;KIAA1549L;KIAA1549 like
52;submission;RIPK1;receptor interacting serine/threonine kinase 1
52;submission;SPSB1;splA/ryanodine receptor domain and SOCS box containing 1
52;submission;PCDH7;protocadherin 7
52;submission;ZBTB20;zinc finger and BTB domain containing 20
52;submission;SRSF2;serine and arginine rich splicing factor 2
52;submission;GABRA6;gamma-aminobutyric acid type A receptor alpha6 subunit
52;submission;IFNAR1;interferon alpha and beta receptor subunit 1
52;submission;BTG1;BTG anti-proliferation factor 1
52;submission;KMO;kynurenine 3-monooxygenase
52;submission;XK;X-linked Kx blood group
52;submission;STK10;serine/threonine kinase 10
52;submission;ARL4A;ADP ribosylation factor like GTPase 4A
52;submission;SLC5A3;solute carrier family 5 member 3
51;submission;STOM;stomatin
51;submission;YWHAG;tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein gamma
51;submission;sep-10;septin 10
51;submission;CBL;Cbl proto-oncogene
51;submission;ZNF805;zinc finger protein 805
51;submission;SGMS2;sphingomyelin synthase 2
51;submission;AAK1;AP2 associated kinase 1
51;submission;GARNL3;GTPase activating Rap/RanGAP domain like 3
51;submission;VPS29;VPS29, retromer complex component
51;submission;TET3;tet methylcytosine dioxygenase 3
51;submission;PAX5;paired box 5
51;submission;ABHD8;abhydrolase domain containing 8
51;submission;YIPF5;Yip1 domain family member 5
51;submission;RBMXL1;RBMX like 1
51;submission;MARK4;microtubule affinity regulating kinase 4
50;submission;ULK3;unc-51 like kinase 3
50;submission;UBE3A;ubiquitin protein ligase E3A
50;submission;C15orf41;chromosome 15 open reading frame 41
50;submission;CLEC1A;C-type lectin domain family 1 member A
50;submission;ZNF521;zinc finger protein 521
50;submission;KAT6A;lysine acetyltransferase 6A
50;submission;GYG1;glycogenin 1
50;submission;STIM1;stromal interaction molecule 1
