miRNA Name;Gene Symbol;Gene Description;
55;submission;POC1B;POC1 centriolar protein B
54;submission;BCL11B;BCL11B, BAF complex component
54;submission;PET117;PET117 homolog
54;submission;DCTN2;dynactin subunit 2
54;submission;PLPP6;phospholipid phosphatase 6
54;submission;RPUSD4;RNA pseudouridine synthase D4
54;submission;BEAN1;brain expressed associated with NEDD4 1
54;submission;ADCYAP1R1;ADCYAP receptor type I
54;submission;RIPK1;receptor interacting serine/threonine kinase 1
53;submission;TNPO2;transportin 2
53;submission;P4HA1;prolyl 4-hydroxylase subunit alpha 1
53;submission;CABYR;calcium binding tyrosine phosphorylation regulated
53;submission;IL33;interleukin 33
53;submission;PHC3;polyhomeotic homolog 3
53;submission;ZNF500;zinc finger protein 500
53;submission;ATG12;autophagy related 12
53;submission;COL25A1;collagen type XXV alpha 1 chain
53;submission;ADAR;adenosine deaminase, RNA specific
53;submission;GTPBP6;GTP binding protein 6 (putative)
52;submission;SPTLC2;serine palmitoyltransferase long chain base subunit 2
52;submission;MCTP2;multiple C2 and transmembrane domain containing 2
52;submission;UBP1;upstream binding protein 1
52;submission;SPTB;spectrin beta, erythrocytic
52;submission;METRN;meteorin, glial cell differentiation regulator
52;submission;NFIB;nuclear factor I B
52;submission;NFATC2;nuclear factor of activated T cells 2
52;submission;ZNF827;zinc finger protein 827
52;submission;TEAD1;TEA domain transcription factor 1
52;submission;ATG2B;autophagy related 2B
52;submission;YME1L1;YME1 like 1 ATPase
52;submission;GLP2R;glucagon like peptide 2 receptor
51;submission;CCDC78;coiled-coil domain containing 78
51;submission;RC3H2;ring finger and CCCH-type domains 2
51;submission;NAA10;N(alpha)-acetyltransferase 10, NatA catalytic subunit
51;submission;LY6G5B;lymphocyte antigen 6 family member G5B
51;submission;SLITRK4;SLIT and NTRK like family member 4
51;submission;NSUN7;NOP2/Sun RNA methyltransferase family member 7
51;submission;PARD3;par-3 family cell polarity regulator
50;submission;RBM7;RNA binding motif protein 7
50;submission;AFF2;AF4/FMR2 family member 2
50;submission;AQP3;aquaporin 3 (Gill blood group)
50;submission;SLC16A1;solute carrier family 16 member 1
50;submission;TMEM64;transmembrane protein 64
