miRNA Name;Gene Symbol;Gene Description;
83;submission;UNC5C;unc-5 netrin receptor C
83;submission;TYRP1;tyrosinase related protein 1
83;submission;CLGN;calmegin
83;submission;SSR1;signal sequence receptor subunit 1
83;submission;CAMTA1;calmodulin binding transcription activator 1
83;submission;ACSM5;acyl-CoA synthetase medium chain family member 5
83;submission;USP9X;ubiquitin specific peptidase 9 X-linked
83;submission;TFAP2B;transcription factor AP-2 beta
83;submission;DAG1;dystroglycan 1
82;submission;YAF2;YY1 associated factor 2
82;submission;ZNF518B;zinc finger protein 518B
82;submission;OXTR;oxytocin receptor
82;submission;PTPRB;protein tyrosine phosphatase, receptor type B
82;submission;GJA3;gap junction protein alpha 3
82;submission;USP10;ubiquitin specific peptidase 10
82;submission;ADCY1;adenylate cyclase 1
82;submission;TOR1A;torsin family 1 member A
82;submission;SOX6;SRY-box 6
82;submission;SMAD5;SMAD family member 5
82;submission;ZFY;zinc finger protein Y-linked
81;submission;COL4A1;collagen type IV alpha 1 chain
81;submission;ATP1B1;ATPase Na+/K+ transporting subunit beta 1
81;submission;USF3;upstream transcription factor family member 3
81;submission;TRAF3;TNF receptor associated factor 3
81;submission;SLC8A3;solute carrier family 8 member A3
81;submission;ABHD3;abhydrolase domain containing 3
81;submission;MFSD9;major facilitator superfamily domain containing 9
81;submission;IRGQ;immunity related GTPase Q
81;submission;MCPH1;microcephalin 1
80;submission;MPP6;membrane palmitoylated protein 6
80;submission;CDH13;cadherin 13
80;submission;FNIP1;folliculin interacting protein 1
80;submission;C11orf74;chromosome 11 open reading frame 74
80;submission;KLHDC10;kelch domain containing 10
80;submission;TRPC1;transient receptor potential cation channel subfamily C member 1
80;submission;ENOSF1;enolase superfamily member 1
79;submission;PITPNB;phosphatidylinositol transfer protein beta
79;submission;WDR5B;WD repeat domain 5B
79;submission;RIMS2;regulating synaptic membrane exocytosis 2
79;submission;UQCRQ;ubiquinol-cytochrome c reductase complex III subunit VII
79;submission;GRB14;growth factor receptor bound protein 14
79;submission;CALM3;calmodulin 3
79;submission;RAB30;RAB30, member RAS oncogene family
79;submission;ZNF334;zinc finger protein 334
79;submission;RNF180;ring finger protein 180
79;submission;NUFIP2;nuclear FMR1 interacting protein 2
79;submission;RPL37;ribosomal protein L37
79;submission;GPR161;G protein-coupled receptor 161
79;submission;BTBD7;BTB domain containing 7
78;submission;RGS7BP;regulator of G protein signaling 7 binding protein
78;submission;LIMD2;LIM domain containing 2
78;submission;FAM84B;family with sequence similarity 84 member B
78;submission;SEMA5A;semaphorin 5A
78;submission;GFRA2;GDNF family receptor alpha 2
78;submission;SMAD9;SMAD family member 9
78;submission;STIM2;stromal interaction molecule 2
78;submission;GALNT6;polypeptide N-acetylgalactosaminyltransferase 6
78;submission;STK38L;serine/threonine kinase 38 like
78;submission;MASP1;mannan binding lectin serine peptidase 1
78;submission;CNTN4;contactin 4
77;submission;HTRA2;HtrA serine peptidase 2
77;submission;TFAP2A;transcription factor AP-2 alpha
77;submission;GPD1;glycerol-3-phosphate dehydrogenase 1
77;submission;ERI2;ERI1 exoribonuclease family member 2
77;submission;CMIP;c-Maf inducing protein
77;submission;ANTXR2;ANTXR cell adhesion molecule 2
77;submission;ZNF540;zinc finger protein 540
76;submission;CETN1;centrin 1
76;submission;EXTL2;exostosin like glycosyltransferase 2
76;submission;AKAP13;A-kinase anchoring protein 13
76;submission;KHDRBS2;KH RNA binding domain containing, signal transduction associated 2
76;submission;CARF;calcium responsive transcription factor
75;submission;PEG3;paternally expressed 3
75;submission;KPNA3;karyopherin subunit alpha 3
75;submission;SOGA3;SOGA family member 3
75;submission;TNPO3;transportin 3
75;submission;ANKRD27;ankyrin repeat domain 27
75;submission;WASHC4;WASH complex subunit 4
75;submission;EPS8;epidermal growth factor receptor pathway substrate 8
75;submission;ATP2B2;ATPase plasma membrane Ca2+ transporting 2
75;submission;FKBP3;FKBP prolyl isomerase 3
74;submission;BEAN1;brain expressed associated with NEDD4 1
74;submission;DENND4C;DENN domain containing 4C
74;submission;EPS15;epidermal growth factor receptor pathway substrate 15
74;submission;FAM49A;family with sequence similarity 49 member A
74;submission;FGFR1OP2;FGFR1 oncogene partner 2
74;submission;IMMT;inner membrane mitochondrial protein
74;submission;SLC17A8;solute carrier family 17 member 8
74;submission;NAA25;N(alpha)-acetyltransferase 25, NatB auxiliary subunit
74;submission;MEGF9;multiple EGF like domains 9
74;submission;RPTN;repetin
73;submission;FRMD5;FERM domain containing 5
73;submission;TMEM196;transmembrane protein 196
73;submission;CPT1A;carnitine palmitoyltransferase 1A
73;submission;CMTM6;CKLF like MARVEL transmembrane domain containing 6
73;submission;LGSN;lengsin, lens protein with glutamine synthetase domain
73;submission;PRAME;preferentially expressed antigen in melanoma
73;submission;BEND4;BEN domain containing 4
73;submission;GLRB;glycine receptor beta
73;submission;NCBP2;nuclear cap binding protein subunit 2
73;submission;GPX7;glutathione peroxidase 7
72;submission;MINPP1;multiple inositol-polyphosphate phosphatase 1
72;submission;IGF2;insulin like growth factor 2
72;submission;DHRS7;dehydrogenase/reductase 7
72;submission;GRIA4;glutamate ionotropic receptor AMPA type subunit 4
72;submission;DOK3;docking protein 3
72;submission;SAMD5;sterile alpha motif domain containing 5
72;submission;CYB5D2;cytochrome b5 domain containing 2
72;submission;ago-01;argonaute RISC catalytic component 1
72;submission;TMLHE;trimethyllysine hydroxylase, epsilon
72;submission;MXD1;MAX dimerization protein 1
71;submission;DAB2;DAB2, clathrin adaptor protein
71;submission;PCDH19;protocadherin 19
71;submission;C8orf88;chromosome 8 open reading frame 88
71;submission;PRPS1;phosphoribosyl pyrophosphate synthetase 1
71;submission;ODAPH;odontogenesis associated phosphoprotein
71;submission;ANAPC16;anaphase promoting complex subunit 16
71;submission;ZNF589;zinc finger protein 589
71;submission;C22orf24;chromosome 22 open reading frame 24
71;submission;REEP5;receptor accessory protein 5
71;submission;PAX9;paired box 9
71;submission;PFKFB2;6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 2
71;submission;MATR3;matrin 3
71;submission;SP4;Sp4 transcription factor
71;submission;EPHA5;EPH receptor A5
70;submission;EIF3J;eukaryotic translation initiation factor 3 subunit J
70;submission;BMPR1B;bone morphogenetic protein receptor type 1B
70;submission;ISL1;ISL LIM homeobox 1
70;submission;PIAS2;protein inhibitor of activated STAT 2
70;submission;CALML4;calmodulin like 4
70;submission;MYOZ2;myozenin 2
70;submission;ABCD3;ATP binding cassette subfamily D member 3
69;submission;FAM120B;family with sequence similarity 120B
69;submission;GABPB2;GA binding protein transcription factor subunit beta 2
69;submission;FAM222B;family with sequence similarity 222 member B
69;submission;FGF12;fibroblast growth factor 12
69;submission;STK26;serine/threonine kinase 26
69;submission;MBNL1;muscleblind like splicing regulator 1
69;submission;SLC35B4;solute carrier family 35 member B4
69;submission;FEN1;flap structure-specific endonuclease 1
69;submission;EPC1;enhancer of polycomb homolog 1
68;submission;ARRDC4;arrestin domain containing 4
68;submission;TSPAN2;tetraspanin 2
68;submission;PKDREJ;polycystin family receptor for egg jelly
68;submission;TMEM87A;transmembrane protein 87A
68;submission;RAB11A;RAB11A, member RAS oncogene family
68;submission;NFE2L1;nuclear factor, erythroid 2 like 1
67;submission;INSR;insulin receptor
67;submission;ZNF395;zinc finger protein 395
67;submission;ZNF607;zinc finger protein 607
67;submission;ABRACL;ABRA C-terminal like
67;submission;EIF4G2;eukaryotic translation initiation factor 4 gamma 2
67;submission;ST8SIA4;ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 4
66;submission;ANKIB1;ankyrin repeat and IBR domain containing 1
66;submission;IMPAD1;inositol monophosphatase domain containing 1
66;submission;HNRNPH3;heterogeneous nuclear ribonucleoprotein H3
66;submission;MGARP;mitochondria localized glutamic acid rich protein
66;submission;ZDHHC15;zinc finger DHHC-type containing 15
66;submission;GFPT1;glutamine--fructose-6-phosphate transaminase 1
66;submission;KIAA1211;KIAA1211
65;submission;GOLM1;golgi membrane protein 1
65;submission;FAM19A1;family with sequence similarity 19 member A1, C-C motif chemokine like
65;submission;GABRA2;gamma-aminobutyric acid type A receptor alpha2 subunit
65;submission;MCTP2;multiple C2 and transmembrane domain containing 2
65;submission;EPB41L1;erythrocyte membrane protein band 4.1 like 1
65;submission;NOTCH2NLA;notch 2 N-terminal like A
65;submission;POU2F2;POU class 2 homeobox 2
65;submission;RAB21;RAB21, member RAS oncogene family
65;submission;FBP2;fructose-bisphosphatase 2
65;submission;SLC35D3;solute carrier family 35 member D3
65;submission;SPAG8;sperm associated antigen 8
65;submission;CKS2;CDC28 protein kinase regulatory subunit 2
65;submission;TUFT1;tuftelin 1
64;submission;KLHL13;kelch like family member 13
64;submission;FREM1;FRAS1 related extracellular matrix 1
64;submission;SCN2A;sodium voltage-gated channel alpha subunit 2
64;submission;ZNF502;zinc finger protein 502
64;submission;CPD;carboxypeptidase D
64;submission;USP37;ubiquitin specific peptidase 37
64;submission;VASH2;vasohibin 2
64;submission;CAV1;caveolin 1
64;submission;PPP2CB;protein phosphatase 2 catalytic subunit beta
64;submission;ARPP19;cAMP regulated phosphoprotein 19
64;submission;KCNK10;potassium two pore domain channel subfamily K member 10
64;submission;TRPS1;transcriptional repressor GATA binding 1
63;submission;FBXL13;F-box and leucine rich repeat protein 13
63;submission;FOXP2;forkhead box P2
63;submission;MTMR7;myotubularin related protein 7
63;submission;AGBL4;ATP/GTP binding protein like 4
63;submission;GIGYF2;GRB10 interacting GYF protein 2
62;submission;KCNA1;potassium voltage-gated channel subfamily A member 1
62;submission;ADAMTS2;ADAM metallopeptidase with thrombospondin type 1 motif 2
62;submission;ATP2A2;ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 2
62;submission;MTR;5-methyltetrahydrofolate-homocysteine methyltransferase
62;submission;NIF3L1;NGG1 interacting factor 3 like 1
62;submission;BMPR2;bone morphogenetic protein receptor type 2
62;submission;NFIA;nuclear factor I A
62;submission;ABCC4;ATP binding cassette subfamily C member 4
62;submission;MUCL1;mucin like 1
62;submission;STYX;serine/threonine/tyrosine interacting protein
62;submission;PSMD11;proteasome 26S subunit, non-ATPase 11
62;submission;PPIL6;peptidylprolyl isomerase like 6
61;submission;TIPRL;TOR signaling pathway regulator
61;submission;NPTN;neuroplastin
61;submission;NECAB1;N-terminal EF-hand calcium binding protein 1
61;submission;NDFIP1;Nedd4 family interacting protein 1
61;submission;CDS1;CDP-diacylglycerol synthase 1
61;submission;FAM218A;family with sequence similarity 218 member A
61;submission;ARL6IP5;ADP ribosylation factor like GTPase 6 interacting protein 5
61;submission;PREP;prolyl endopeptidase
61;submission;WWTR1;WW domain containing transcription regulator 1
61;submission;MOCS2;molybdenum cofactor synthesis 2
61;submission;TNRC6B;trinucleotide repeat containing 6B
60;submission;ANGPT1;angiopoietin 1
60;submission;C1orf56;chromosome 1 open reading frame 56
60;submission;MEF2C;myocyte enhancer factor 2C
60;submission;SMG7;SMG7, nonsense mediated mRNA decay factor
60;submission;TTC30A;tetratricopeptide repeat domain 30A
60;submission;PDC;phosducin
60;submission;TTC37;tetratricopeptide repeat domain 37
60;submission;VN1R1;vomeronasal 1 receptor 1
60;submission;KLHL6;kelch like family member 6
60;submission;LMAN2L;lectin, mannose binding 2 like
60;submission;sep-11;septin 11
60;submission;CEP162;centrosomal protein 162
60;submission;SLC2A12;solute carrier family 2 member 12
60;submission;RELN;reelin
60;submission;MEIS2;Meis homeobox 2
60;submission;SFT2D2;SFT2 domain containing 2
59;submission;FCGR3A;Fc fragment of IgG receptor IIIa
59;submission;RNF19B;ring finger protein 19B
59;submission;MCF2L;MCF.2 cell line derived transforming sequence like
59;submission;FCGR3B;Fc fragment of IgG receptor IIIb
59;submission;SIK3;SIK family kinase 3
59;submission;ZNF526;zinc finger protein 526
59;submission;PLAC8;placenta specific 8
59;submission;VTI1A;vesicle transport through interaction with t-SNAREs 1A
59;submission;CCNG1;cyclin G1
59;submission;SLC38A4;solute carrier family 38 member 4
58;submission;CWC25;CWC25 spliceosome associated protein homolog
58;submission;SLC5A7;solute carrier family 5 member 7
58;submission;ARSB;arylsulfatase B
58;submission;CDC42BPA;CDC42 binding protein kinase alpha
58;submission;RPRD2;regulation of nuclear pre-mRNA domain containing 2
58;submission;PRPF4B;pre-mRNA processing factor 4B
58;submission;LCE6A;late cornified envelope 6A
58;submission;VCAM1;vascular cell adhesion molecule 1
58;submission;RCN2;reticulocalbin 2
58;submission;SYNC;syncoilin, intermediate filament protein
58;submission;SSBP2;single stranded DNA binding protein 2
57;submission;NECTIN3;nectin cell adhesion molecule 3
57;submission;CDK13;cyclin dependent kinase 13
57;submission;ARL5B;ADP ribosylation factor like GTPase 5B
57;submission;TBC1D12;TBC1 domain family member 12
57;submission;TIGIT;T cell immunoreceptor with Ig and ITIM domains
57;submission;ZBTB14;zinc finger and BTB domain containing 14
57;submission;SMIM13;small integral membrane protein 13
57;submission;PROM2;prominin 2
57;submission;NRXN1;neurexin 1
57;submission;MIA2;MIA SH3 domain ER export factor 2
57;submission;HVCN1;hydrogen voltage gated channel 1
57;submission;NDUFA10;NADH:ubiquinone oxidoreductase subunit A10
57;submission;FAM205C;family with sequence similarity 205 member C
56;submission;TGFB1;transforming growth factor beta 1
56;submission;ZNF106;zinc finger protein 106
56;submission;TRDMT1;tRNA aspartic acid methyltransferase 1
56;submission;CRYAB;crystallin alpha B
56;submission;RORA;RAR related orphan receptor A
56;submission;GSTT2B;glutathione S-transferase theta 2B (gene/pseudogene)
56;submission;KCTD7;potassium channel tetramerization domain containing 7
56;submission;SHISA9;shisa family member 9
56;submission;HIPK2;homeodomain interacting protein kinase 2
56;submission;HPCAL4;hippocalcin like 4
56;submission;NTM;neurotrimin
56;submission;LRCH1;leucine rich repeats and calponin homology domain containing 1
55;submission;WDFY3;WD repeat and FYVE domain containing 3
55;submission;FMNL3;formin like 3
55;submission;CABYR;calcium binding tyrosine phosphorylation regulated
55;submission;BCL2L13;BCL2 like 13
55;submission;GCLM;glutamate-cysteine ligase modifier subunit
55;submission;CENPX;centromere protein X
55;submission;COL16A1;collagen type XVI alpha 1 chain
55;submission;NR2C2;nuclear receptor subfamily 2 group C member 2
55;submission;FBLN1;fibulin 1
55;submission;SZT2;SZT2, KICSTOR complex subunit
55;submission;KCNMB4;potassium calcium-activated channel subfamily M regulatory beta subunit 4
55;submission;BTRC;beta-transducin repeat containing E3 ubiquitin protein ligase
54;submission;C16orf82;chromosome 16 open reading frame 82
54;submission;PLAA;phospholipase A2 activating protein
54;submission;ZBTB20;zinc finger and BTB domain containing 20
54;submission;PPP1R1A;protein phosphatase 1 regulatory inhibitor subunit 1A
54;submission;IVNS1ABP;influenza virus NS1A binding protein
54;submission;OXSR1;oxidative stress responsive kinase 1
54;submission;ZNF594;zinc finger protein 594
54;submission;ABHD6;abhydrolase domain containing 6
54;submission;LNX2;ligand of numb-protein X 2
54;submission;PPM1E;protein phosphatase, Mg2+/Mn2+ dependent 1E
54;submission;EGR3;early growth response 3
54;submission;VTI1B;vesicle transport through interaction with t-SNAREs 1B
54;submission;ZEB2;zinc finger E-box binding homeobox 2
54;submission;ARMC1;armadillo repeat containing 1
54;submission;ARGFX;arginine-fifty homeobox
53;submission;HELZ;helicase with zinc finger
53;submission;FZD5;frizzled class receptor 5
53;submission;ANKRD28;ankyrin repeat domain 28
53;submission;RNF170;ring finger protein 170
53;submission;S1PR1;sphingosine-1-phosphate receptor 1
53;submission;CNTNAP2;contactin associated protein like 2
53;submission;USP46;ubiquitin specific peptidase 46
53;submission;SPDYA;speedy/RINGO cell cycle regulator family member A
52;submission;TOR2A;torsin family 2 member A
52;submission;USP48;ubiquitin specific peptidase 48
52;submission;ENAM;enamelin
52;submission;SOX5;SRY-box 5
52;submission;DPY19L4;dpy-19 like 4
52;submission;FAM104A;family with sequence similarity 104 member A
52;submission;HBEGF;heparin binding EGF like growth factor
52;submission;DCLK1;doublecortin like kinase 1
52;submission;SRSF7;serine and arginine rich splicing factor 7
51;submission;CTNND1;catenin delta 1
51;submission;PDE1C;phosphodiesterase 1C
51;submission;CAST;calpastatin
51;submission;COCH;cochlin
51;submission;MAF;MAF bZIP transcription factor
51;submission;KCNS1;potassium voltage-gated channel modifier subfamily S member 1
51;submission;TMEM212;transmembrane protein 212
51;submission;SUCNR1;succinate receptor 1
51;submission;TTC28;tetratricopeptide repeat domain 28
51;submission;ZNF621;zinc finger protein 621
51;submission;GUCY1A2;guanylate cyclase 1 soluble subunit alpha 2
50;submission;GDAP2;ganglioside induced differentiation associated protein 2
50;submission;C3orf35;chromosome 3 open reading frame 35
50;submission;NDUFAF5;NADH:ubiquinone oxidoreductase complex assembly factor 5
50;submission;FANCF;FA complementation group F
50;submission;TMEM127;transmembrane protein 127
50;submission;UBR5;ubiquitin protein ligase E3 component n-recognin 5
50;submission;SLIT3;slit guidance ligand 3
50;submission;GBX2;gastrulation brain homeobox 2
50;submission;DNA2;DNA replication helicase/nuclease 2
50;submission;PCDH17;protocadherin 17
50;submission;AR;androgen receptor
50;submission;SERPINA5;serpin family A member 5
